Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2
Arp66B,NaN,0.24518,NaN,0.3228,0.24483,NaN,1.3353,0.28813
MRP,0.25471,0.30711,0.30715,0.23733,0.39256,0.35108,0.36573,0.31584
PGRP-SB1,0.5128,0.78827,0.21733,0.16215,NaN,NaN,NaN,0.63219
Ide,0.21541,0.13222,0.35948,0.21537,0.25319,4.2047,0.42478,0.19266
,10.879,12.113,1.1545,1.113,12.262,8.5478,20.99,18.216
Epac,NaN,NaN,NaN,NaN,NaN,0.2911,NaN,NaN
mmd,NaN,NaN,1.0941,0.251,NaN,0.37459,NaN,NaN
Cyp313a1,0.31303,2.3934,0.20126,0.20914,0.32252,0.49293,0.61908,0.56133
pod1,0.12412,0.55985,NaN,0.046622,0.23983,0.4008,0.1416,0.22177
,0.2851,0.21897,1.8142,1.9643,0.21758,0.21462,0.18461,0.31404
AIF,0.26402,0.29106,0.3082,0.25684,0.58562,0.5222,0.24655,0.33918
,NaN,NaN,4.2164,NaN,1.3066,1.7116,NaN,NaN
emb,0.30724,0.2676,0.39306,0.38212,0.57226,3.8025,0.14732,0.30218
Dlic,0.37077,0.25583,0.39105,0.37911,0.44442,0.49261,0.33773,0.42592
rdgA,0.11092,0.082629,0.10286,0.051393,0.27651,0.15025,0.11406,0.23047
ScpX,0.75253,0.9177,1.3375,1.5674,0.46694,0.53076,0.81082,0.76731
,0.15455,0.49896,0.40748,0.30257,0.37197,0.17542,0.30336,0.24874
AttC,0.23752,0.2601,0.2313,0.11877,NaN,NaN,NaN,NaN
brm,0.60109,0.17459,NaN,NaN,0.56064,0.12774,0.24497,0.76331
l(2)gl,0.26727,0.29449,NaN,0.49079,0.52862,0.46472,0.45326,0.33069
Aats-ile,0.25012,0.21516,0.1435,0.15573,0.23033,0.25522,0.26472,0.14176
SPoCk,0.20231,0.24763,0.22546,NaN,0.45992,0.87975,0.27429,0.26866
unc-104,0.26042,0.1441,NaN,0.1484,0.35327,0.33705,0.79281,0.29374
mor,0.45026,0.60559,NaN,0.56599,0.26753,0.64951,0.52031,0.31846
Cpr50Cb,1.1801,0.88726,2.6875,2.1608,0.96482,0.58195,0.91054,0.88228
,1.2911,1.3719,1.5304,1.7115,1.2662,1.1902,1.4497,1.6551
Hsp22,0.65595,0.27706,NaN,NaN,0.13195,NaN,0.087572,NaN
Ih,NaN,NaN,NaN,0.41271,NaN,NaN,NaN,0.26181
,0.9548,1.0415,0.88533,0.80453,NaN,1.4441,1.1086,1.411
lectin-28C,1.1121,1.0907,0.84837,NaN,NaN,0.98917,1.1686,1.1133
l(2)k14710,0.3411,0.37224,0.17996,0.38116,2.7275,1.071,NaN,NaN
,0.53936,0.96207,0.52589,0.77876,NaN,0.58943,NaN,1.0024
AttB;AttA,NaN,NaN,0.37731,0.1692,NaN,NaN,NaN,NaN
CG8475,NaN,NaN,0.38383,0.19616,NaN,0.48013,NaN,NaN
betaTub60D,0.24424,0.15492,0.52378,0.33866,0.12424,0.22473,0.16016,0.17155
Gfat2,0.3903,0.23552,0.21349,NaN,0.27354,0.60161,0.21479,0.15782
FKBP59,0.28948,0.21818,0.53759,0.5157,0.22037,0.32725,0.24722,0.32798
jbug,0.54882,0.22575,0.55283,0.27982,0.17154,NaN,0.25758,0.65138
Pect,0.47246,0.56397,0.50017,0.6956,0.32009,0.33909,1.958,1.3241
bgm,0.82415,NaN,0.43005,0.28786,NaN,NaN,NaN,NaN
Ugt36Bc,0.93122,1.6057,0.2943,1.2157,1.7803,0.65399,NaN,1.0961
Papss,0.51155,0.50114,0.70767,1.013,0.55098,0.43375,0.61575,0.55276
NitFhit,0.80903,1.0418,0.41052,0.4814,0.97844,NaN,1.0689,1.087
Hsp27,0.44625,0.32537,2.0502,2.1651,0.31535,0.37912,0.3696,0.33624
bbc,1.5149,0.30577,NaN,NaN,NaN,NaN,1.3052,NaN
Fbp2,0.21576,0.21876,1.6151,1.4653,0.19206,0.1458,0.099105,0.20287
sdt,0.2297,0.26315,0.29032,0.27205,0.37156,NaN,NaN,NaN
,NaN,0.97226,0.40565,0.39213,NaN,NaN,NaN,NaN
Nsf2,1.346,0.3106,0.41679,0.47752,0.39436,0.35412,0.41654,0.26106
,1.6458,1.564,2.1999,1.9324,1.8818,1.2766,1.5455,1.6497
,0.39338,0.37062,0.44198,0.41826,0.88602,0.51716,0.28018,0.29504
Fmr1,0.35211,0.36916,0.84967,1.2787,0.37736,0.57883,0.39398,0.37041
Fbp1,1.1313,0.84496,2.2006,2.5457,1.4512,1.1001,0.39072,0.50482
,0.24394,0.23505,0.22649,0.18235,0.28678,0.99664,0.8108,0.48571
Gal,0.6937,0.56375,3.0193,2.1595,2.2685,0.70705,0.54763,0.54476
Dab,0.46299,0.46235,0.86236,0.48124,0.56837,NaN,0.2291,0.57197
Drep-2,0.33623,0.25034,NaN,0.28781,NaN,0.28283,NaN,0.24184
AGO2,0.37947,0.3034,0.49866,0.19647,1.1456,0.36265,0.27508,0.4715
CG1665-RA,2.5775,2.0442,2.1676,2.547,1.14,0.98218,2.5485,2.1515
Gint3,0.52403,6.3749,0.62989,0.45947,0.70223,NaN,0.65131,7.4883
,2.0254,1.6089,1.8542,1.7655,1.3545,1.196,1.3863,1.5707
Lsp1alpha,0.67929,0.71916,2.6077,2.5391,0.91784,0.75489,0.31085,0.25924
Hrd3,1.567,1.1055,1.7646,NaN,1.1624,1.1899,1.1662,1.2725
Liprin-alpha,0.54923,0.42944,0.47409,0.27131,0.42006,0.49799,0.39445,0.27828
Obp56g,2.7573,2.2806,0.69545,0.65391,NaN,2.201,3.4127,2.7766
Osbp,0.33004,0.35549,0.52171,0.72888,0.51755,0.29689,0.38026,0.41259
Pvr,NaN,0.22153,0.29527,0.33851,0.34564,0.32209,0.2133,NaN
qm,0.56881,0.5475,0.73365,0.83795,1.263,0.52631,0.43966,0.57688
dock,0.24752,0.34064,NaN,0.62267,NaN,0.5229,0.42926,NaN
,1.2479,0.99223,0.90119,1.3897,1.4572,0.74225,0.65109,0.66803
Aats-asp,0.34816,0.27587,0.36793,0.46264,0.19133,0.4121,0.38733,0.24924
,0.13082,0.199,0.096521,0.093113,0.18704,0.1778,0.1922,0.11666
PIP5K59B,0.30521,NaN,0.67653,0.82565,0.61993,NaN,0.6995,0.62531
Scp1,1.51,1.5814,0.79154,0.90128,1.4693,1.201,1.5097,1.6193
CG10361-RA,1.0853,1.5161,2.6098,0.53089,1.2117,0.83408,1.1933,1.0331
CG17493,0.80509,1.0693,1.06,0.91664,NaN,NaN,0.9703,0.83341
CG5110,1.1085,0.9955,0.99122,NaN,NaN,NaN,0.66271,NaN
Cpr51A,1.2069,1.0282,1.9295,1.6845,0.9163,0.84896,0.99553,1.01
,0.55242,0.52282,0.63674,NaN,NaN,NaN,NaN,0.54272
Src42A,0.3247,0.31167,0.3709,0.32488,0.33972,0.16905,0.21542,0.24829
,0.34682,0.34906,0.29824,0.28459,0.378,0.49139,0.44327,0.42761
,0.47785,0.4293,1.0818,1.7048,1.6141,0.54404,0.4597,0.51246
CG6723-RA,0.55704,NaN,0.85724,0.65952,0.54304,NaN,NaN,NaN
,0.22758,0.1835,0.12318,0.1364,0.20492,0.28942,0.19728,0.18928
,0.89455,NaN,1.9655,0.89855,1.2511,NaN,0.87209,0.80174
scb,1.4704,0.97261,1.8454,NaN,NaN,0.71381,0.82262,0.81745
l(2)01289,0.21793,0.24992,0.29716,0.24338,0.20212,0.21216,0.22022,0.22197
,0.83896,0.95918,0.62793,0.74241,0.90359,0.67765,0.86099,0.88038
,0.45238,NaN,NaN,NaN,0.49717,NaN,0.2985,1.0573
,0.47118,0.36494,0.45111,0.45104,0.42273,0.32275,0.48313,0.4415
vir-1,4.317,3.731,1.8498,1.895,3.5508,4.1917,3.6277,3.4888
mys,0.26762,0.32209,0.43265,0.4164,0.39305,0.2916,0.3646,0.2542
,0.81855,0.87217,4.2397,1.2026,1.0249,0.72489,1.0262,5.8346
CG31751-RA,0.32062,0.32289,0.71351,0.51372,0.52537,0.54323,0.30138,0.70633
kst,0.28982,0.40779,0.28552,0.38967,0.30477,0.34211,0.33403,0.40152
,6.8227,0.2628,0.36373,0.30489,0.27497,2.4018,0.39672,0.37425
,0.96798,0.86082,1.6704,1.1272,1.2582,NaN,0.90913,0.87792
mRpL1,0.40372,0.7279,1.4433,NaN,0.41278,0.48661,0.59246,0.3889
EG:22E5.5,0.32494,0.31802,0.57763,0.4724,0.23483,0.57775,0.63367,0.36036
Tep3,0.94479,1.1116,1.3769,0.95357,1.0911,0.95436,1.0168,1.3388
,0.91955,0.71671,1.2273,0.68629,NaN,NaN,0.78534,1.3023
PI4KIIIalpha,2.4957,0.56349,NaN,0.26793,0.81584,NaN,NaN,1.0341
Gbeta5,0.47696,0.4728,0.54665,0.51988,NaN,0.50715,0.50841,0.50793
CG6208-RA,2.1027,1.1581,1.6805,1.5926,NaN,NaN,1.3041,1.6706
Pkc98E,0.4424,0.3997,0.24434,NaN,0.21705,NaN,NaN,NaN
CG7770,0.70206,0.5994,1.5431,1.1424,0.54917,0.48167,0.55044,0.49913
Prm,2.6341,2.5846,1.0726,1.6905,3.7085,2.4299,2.9738,3.6202
CG1090,0.48177,0.61302,0.6043,0.62378,0.67536,0.67478,0.65866,0.80994
CG1358-RB,1.7298,2.1493,1.428,1.3396,2.0684,2.0214,2.3409,2.1663
Mlp84B,0.23824,0.16747,0.23624,0.20408,0.15443,0.13472,0.18977,0.15348
Drat,0.39064,0.43082,0.45498,0.42877,0.46734,0.32966,0.39123,0.42184
Tsp42Ed,3.3654,3.1542,2.63,2.6451,3.9622,2.7912,4.8107,4.3104
Nrt,0.91155,0.95797,2.0505,1.4665,1.1565,0.84851,0.8626,0.84678
Cct5,0.1921,0.19552,0.46378,0.49036,0.17004,0.14389,0.19497,0.15038
LKR,0.97197,1.5432,0.46563,0.41795,0.97497,0.89881,1.3128,1.1723
Neb-cGP,8.1125,7.6656,2.984,5.146,4.2723,6.524,4.9745,3.9568
Rbp9,0.54035,0.42928,1.3003,1.3472,0.47645,0.46285,0.45918,0.51054
Hsp26,0.25135,0.22301,0.75784,0.70265,0.24151,0.2265,0.19338,0.22789
Rab35,0.4893,0.64808,1.0159,0.59356,0.73023,NaN,0.86618,0.84797
Skeletor,0.38875,0.41436,1.5374,1.4464,0.43536,0.35275,0.50562,0.67543
CoVa,2.5312,1.9659,1.4298,1.0781,1.9012,1.7545,2.192,1.9178
CG34423-RA,3.9098,3.235,2.4176,2.2926,2.6476,NaN,4.4396,4.5555
G-salpha60A,0.31077,0.31012,0.41489,0.39529,0.47316,0.41838,0.36195,0.39153
TpnC41C,3.3309,2.4949,2.1468,1.9479,1.8483,2.3091,1.6098,2.4685
Rop,0.24889,0.2457,0.28124,0.24024,0.3184,0.27317,0.27525,0.2692
RpL39,0.48567,0.46916,1.0721,1.1585,0.64309,0.42934,0.72913,0.61783
,1.2898,1.3507,1.4453,1.6436,1.057,0.79996,1.4086,1.3772
Mcr,0.53132,0.54517,0.86661,0.68277,0.46138,0.39168,0.54132,0.56445
LanB1,0.14459,0.13383,0.14891,0.21182,0.32664,0.25799,0.12199,0.11774
,0.2439,0.33925,0.23653,0.2846,0.29587,0.33523,0.28218,0.31938
l(1)G0193,0.82098,NaN,NaN,NaN,NaN,NaN,NaN,0.98409
Cha,NaN,NaN,0.16886,0.19543,NaN,0.44084,NaN,NaN
,1.6105,NaN,0.90881,1.0963,7.9473,NaN,1.0706,NaN
levy,2.1914,1.9636,0.86403,1.1493,2.1403,1.6928,1.9172,2.2567
tral,0.58245,0.57915,0.72942,0.56727,0.56473,0.46931,0.57831,0.53835
CG3967,0.53279,0.62662,0.83171,0.78416,0.64137,0.7146,0.97316,0.63155
CSN3,0.81619,0.87798,1.3143,1.2172,0.67669,0.49339,0.6104,0.84057
Treh,0.66145,0.70522,0.55545,0.5472,0.71271,0.59447,0.74618,0.80788
futsch,0.92474,1.1073,0.89076,0.91293,1.1221,1.0848,1.1983,1.1097
,0.2689,NaN,NaN,NaN,0.34884,NaN,NaN,NaN
Eaat1,0.7669,0.79479,1.1071,0.89046,1.2335,0.95992,1.0342,1.0092
mgl,0.22228,0.59126,0.54023,5.7711,0.38653,0.29857,0.74374,0.42504
,3.6672,3.2171,2.9018,2.8055,2.9763,3.0673,3.5682,3.7738
CG4893,1.2773,1.0992,1.5206,1.645,1.2201,0.95814,1.2583,1.1462
gish,0.3965,0.51453,0.57398,0.45628,0.54693,0.54177,0.3979,0.70262
CG13043-RA,2.5573,2.1108,4.3327,4.6812,NaN,1.9945,3.0085,2.8239
,0.19183,0.2256,0.39821,0.37736,0.19086,0.30915,0.22339,0.21067
,0.97487,1.0031,1.1293,0.90182,1.5096,1.0674,1.048,1.1431
,0.89758,1.0121,0.82867,0.87017,NaN,NaN,0.52082,0.77037
,0.65178,0.9003,0.9585,0.90076,0.65968,0.61612,0.85148,1.016
SmD2,0.87249,0.80071,NaN,1.02,0.86163,0.59084,0.7429,0.68919
Gpo-1,0.70094,0.7774,0.41159,0.42886,0.7858,0.64358,0.96093,0.96712
Ank,0.20484,0.20386,0.24013,0.1648,0.24031,0.23214,0.13142,0.21272
,0.6528,0.69697,1.3483,0.83643,0.66686,NaN,0.60616,0.54767
Cdc42,0.54485,0.61721,1.0747,0.8096,0.8269,0.65144,0.74154,0.74242
TpnC73F,0.16073,0.13082,1.1513,1.3129,0.12051,0.10477,0.063382,0.076122
,0.78903,0.9249,0.4442,0.82661,1.0692,0.97797,0.85109,1.0518
CG5830-RA,0.97027,0.62986,0.56937,0.64946,0.67529,0.50071,0.71733,0.62287
ome,0.9365,0.98669,1.7983,1.6165,0.97609,0.74238,0.76606,0.69826
CG13364,1.0847,1.0122,1.549,NaN,0.61356,0.88529,0.9612,0.93222
14-3-3zeta,1.2717,1.4607,1.0405,1.0647,1.1537,1.2261,1.1152,1.2933
,NaN,4.5923,1.8113,2.2261,NaN,NaN,5.0333,NaN
Arp14D;Arp2,0.57475,0.62426,0.81269,0.76025,0.61041,0.83494,0.68465,0.63525
Zasp52,0.1859,0.19652,0.20856,0.29671,0.17538,0.18085,0.2647,0.21687
,0.92968,1.2248,1.1038,1.0106,1.1851,1.1914,1.133,1.2693
AP-1-2beta,0.20817,0.21942,0.2831,0.31104,0.30535,0.22381,0.27939,0.25696
eys,0.60086,0.61936,0.7388,0.67473,0.81942,0.676,0.8171,0.81819
Pmi,1.7494,1.466,0.90633,0.87582,1.4888,1.3789,2.0069,1.6587
jdp,1.2179,1.0432,0.96322,0.95772,1.1955,0.94354,1.24,0.96309
CG10641,1.466,1.1784,1.9146,2.1668,0.99798,0.91607,1.1841,1.0174
,0.1807,0.22106,0.3406,0.34124,0.16844,0.18429,0.23424,0.22461
Rya-r44F,0.22612,0.20416,0.21894,0.31898,0.2948,0.16265,0.23197,0.22017
CG15173,1.2319,1.8305,2.1402,1.7482,1.5199,NaN,1.6402,1.9621
,1.7758,2.0351,1.3135,1.6617,1.9815,1.8966,2.8037,2.1475
Act42A,0.42392,0.36993,0.66663,0.6432,0.31887,0.23746,0.31101,0.28416
Capr,0.46464,0.41685,0.8331,0.87598,0.46007,0.55,0.39842,0.34218
Rbcn-3A,0.17645,0.25022,0.12983,0.18374,0.42234,0.30738,0.23388,0.24089
Fas1,0.92196,1.1726,0.78746,0.75092,1.9515,1.2907,1.3267,1.477
,1.3678,1.3276,1.3507,1.5739,1.1868,1.1333,1.464,1.4203
His1:CG33858;His1;His1:CG33807;His1:CG33834,1.3292,1.3155,1.4379,1.6313,1.3977,1.1698,1.5178,1.599
CaMKII,0.27754,0.29119,0.40629,0.39601,0.37059,0.31381,0.31663,0.33704
Nmdmc,0.85467,0.85618,1.2305,1.0756,0.98892,0.75205,0.76192,1.0907
G-oalpha47A,0.31781,0.35576,0.38618,0.36153,0.52111,0.49166,0.4862,0.45398
Argk,1.653,1.7355,1.1972,1.1252,1.3165,1.2458,1.4705,1.6555
Aats-trp,0.86925,0.73903,0.98698,1.0902,0.70869,0.65978,0.62793,0.63616
,NaN,2.4162,NaN,0.86507,2.598,NaN,0.56349,0.78612
,3.213,3.319,1.8083,2.0217,2.463,2.4116,2.497,2.9874
Tcp-1eta,0.10232,0.088554,0.23986,0.20028,0.082307,0.12105,0.090136,0.095148
Lsp2,0.20165,0.22753,1.1443,1.2366,0.20865,0.18137,0.22722,0.22976
wupA,1.5534,1.5068,1.2997,1.3511,1.2118,1.3248,1.4406,1.4877
,0.47492,0.44288,0.76019,0.80223,0.60841,0.40593,0.46045,0.5475
,0.78172,0.90223,1.03,1.0471,0.98701,0.64567,NaN,NaN
CHMP2B,1.5424,1.4827,1.4782,1.2623,NaN,NaN,1.4202,1.6369
Apoltp,0.60736,0.33885,0.26754,0.4128,0.37031,0.25125,0.42776,0.37583
CG1814-RA;CG1814-RB,0.98741,1.0508,0.68531,0.68989,1.2156,0.99588,1.2856,1.3212
pzg,0.22538,0.18502,0.29674,0.23172,0.22327,0.14698,0.23606,0.20863
,0.21017,0.27378,0.3361,0.32218,0.18741,0.30916,0.15118,0.20102
Cpr49Ac,0.8451,0.73743,2.0821,2.1218,1.014,0.8764,0.75008,0.73194
Pu,0.28956,0.22592,3.091,3.1623,0.20928,0.24361,0.25434,0.28754
,0.1711,0.21992,0.14607,0.11182,0.15228,0.14009,0.17723,0.20532
brp,0.57079,0.56209,0.52849,0.49316,0.62902,0.51378,0.5932,0.60921
Map205,0.24763,0.19102,0.42114,0.56073,0.20037,0.23033,0.19931,0.24548
,4.837,4.2288,0.53229,0.54567,5.2472,5.0194,5.8528,6.6741
l(2)01289,0.17285,0.20555,0.30841,0.20052,0.20347,0.16408,0.30813,0.17541
rump,0.45902,0.49601,0.86529,0.95616,0.5422,0.44647,0.47541,0.50788
ox,3.9587,2.4813,1.8046,1.4699,2.847,2.8018,2.9339,3.7723
CG32103-RB;CG4392,1.1124,1.0479,0.90024,0.81696,1.6029,1.0315,1.4097,1.298
BcDNA.GH02439;BcDNA:GH02439,0.74217,0.84985,0.7092,0.74889,1.06,0.83466,1.0044,0.9275
CG10737-RC,0.33034,0.38392,0.53959,0.63923,0.45464,0.42943,0.3639,0.38867
Unc-89,0.12882,0.15438,0.16975,0.1336,0.1126,0.12373,0.13509,0.12561
CG8500-RA,1.108,1.4948,1.2115,1.4731,1.5162,1.1515,1.5153,1.3224
Cdep,0.49136,NaN,0.37526,NaN,0.91682,0.71557,NaN,NaN
Su(P),0.60517,0.66256,0.71434,0.61212,0.76397,0.54258,0.59703,0.71826
,0.81259,0.9374,0.70665,0.64331,0.99519,0.85028,0.98206,0.93597
vari,0.6492,0.74767,1.0832,1.0178,0.83785,0.53161,0.67768,0.72815
,0.54865,0.60111,0.5662,0.52797,0.86999,0.72989,0.78786,0.71842
rept,0.48773,0.40475,0.65753,0.54767,0.54615,0.46841,0.34929,0.26503
Mhc,0.2071,0.23664,0.19214,0.18275,0.1725,0.18776,0.19423,0.23594
CG6239,0.25722,0.32792,0.5085,0.27988,0.32674,0.33542,0.34686,0.38879
Arpc1,0.70496,0.72808,0.94182,NaN,0.54304,NaN,0.58387,0.54421
His2B,1.9645,1.8612,2.3197,2.2623,1.7561,1.8129,1.8816,2.0009
,3.5247,3.1681,1.5871,1.6844,3.0237,2.5614,2.9724,2.8954
pnut,0.48133,0.57479,0.71771,0.7133,0.60003,0.45588,0.48372,0.44957
fax,0.49168,0.51158,1.0886,1.0284,0.58226,0.53755,0.53889,0.57574
Swim,0.653,0.70286,0.64087,0.56666,1.1512,0.70035,1.0727,1.1322
Galpha49B,0.56558,0.65896,0.51068,0.52506,0.80669,0.61581,0.64056,0.72215
,0.7539,0.57493,0.77396,0.724,0.97523,0.72776,0.75218,0.6606
His4,1.9142,1.7667,2.0516,2.1753,2.1221,1.6877,1.7767,1.8936
,1.8296,1.9642,1.1204,1.1621,1.6213,1.461,1.8402,1.8889
Obp44a,1.1233,0.79266,2.4756,2.6817,0.89664,0.6687,0.85122,0.94142
His2A:CG33856;His2A,1.9258,2.03,2.1223,2.4804,1.9283,1.6922,1.9466,1.9894
betaTub56D,0.25563,0.28608,0.37683,0.3827,0.28582,0.28325,0.29031,0.27236
NP15.6,2.8582,2.8829,2.0474,2.1262,2.9082,1.7113,2.3,3.0206
,1.365,1.3679,1.2152,1.0824,1.7011,1.442,1.3373,1.2785
Dek,1.0093,1.0502,1.2773,1.2659,1.3317,1.0997,1.2577,1.1508
,0.8924,0.80692,0.85711,0.72801,1.0068,0.78362,0.65288,0.84388
,1.3326,1.3325,1.8325,1.5838,1.0346,0.92989,1.1992,1.4174
P58IPK,3.3679,1.4041,1.3633,1.2328,1.9757,1.0026,1.4318,1.5018
,2.4101,2.0044,0.85778,0.81156,1.7392,2.0632,2.3809,2.1765
,1.8805,1.5288,2.2335,2.4316,1.4008,1.0577,1.1449,1.3303
SmD3,1.4054,1.2894,2.1126,2.2267,1.2154,0.98295,1.5176,1.3112
CG8399,0.6922,0.79068,1.0332,1.1499,0.97073,0.60096,0.93182,0.78656
Tm1,2.1119,2.6672,1.4678,1.269,1.9339,1.7021,2.3478,2.2061
Zn72D,0.27498,0.21902,NaN,0.45309,0.60079,0.68009,0.24719,0.21585
betaTub97EF,0.43833,0.43011,0.50455,0.488,0.50032,0.43434,0.49431,0.48311
Chc,2.2902,0.12354,0.099229,0.098647,0.093205,0.16888,0.077467,0.077992
Pcmt,1.703,1.6226,1.019,1.2263,1.2731,1.6165,1.6086,1.4819
Rab39,0.79457,0.84003,1.1136,1.0441,NaN,0.74899,1.101,1.7903
Hsp68,0.25825,0.25081,0.30375,0.40279,0.39171,0.31762,0.22355,0.17876
AP-2sigma,0.97502,1.1869,1.0007,1.1616,1.248,1.2106,1.3028,1.2701
flw,0.25979,0.29432,NaN,0.19353,0.38424,NaN,0.39001,0.31305
CG8891,1.1191,0.78686,1.1798,0.79317,0.81597,0.50039,0.79428,0.94766
LamC,0.95838,0.99583,1.3939,1.2953,0.89333,0.75753,0.87636,0.91291
,1.2653,1.3471,1.2916,1.2246,1.5636,1.4193,1.5379,1.4932
,1.4216,1.8686,1.3557,1.0229,2.042,1.3974,1.3431,2.053
Nca,1.1809,1.673,1.355,1.511,2.0028,1.3843,1.3738,1.3967
slgA,0.4402,0.54987,0.43801,0.40599,0.64315,0.56403,0.64692,0.67265
Snap,0.84393,0.77617,0.73822,0.66719,0.94862,0.76073,0.81104,0.77726
CG34439-RA,4.4351,4.1299,2.4391,2.157,3.6176,NaN,3.0819,3.1733
Arc1;CR10102,0.85743,NaN,NaN,NaN,NaN,NaN,NaN,NaN
kcc,0.63126,0.72424,0.74605,0.65401,1.0114,0.88126,0.81078,0.85735
TotA,3.0919,2.366,3.7396,3.6508,3.5784,2.7352,3.6492,4.4896
Vps13,0.2801,0.29692,0.45293,0.26612,0.27132,0.21935,0.30205,0.22173
Scox,1.0078,0.84274,0.71506,0.73991,0.78307,0.68771,0.5561,0.64427
Strn-Mlck,0.26163,0.29596,0.17444,0.158,0.25915,0.23624,0.35994,0.32443
l(2)k09913,0.93213,0.99966,1.1456,1.1631,1.1087,1.006,0.9793,1.0617
Eps-15,0.71373,0.80007,0.77819,0.68478,0.79975,0.75475,0.87668,0.82545
,1.452,1.5366,0.9615,0.82884,1.5284,1.3674,1.5683,1.6107
Prosbeta5,0.67463,0.50908,1.1742,1.0355,0.66127,0.50054,0.70287,0.55957
prc,2.0697,1.6965,2.4696,NaN,NaN,NaN,1.5777,1.3453
igl,1.6101,1.2777,1.2859,1.4114,1.4189,1.5151,1.5758,1.3802
ste24a,0.61105,0.76401,0.79855,0.94261,0.74868,0.75143,0.86557,0.85834
mtd,0.33925,0.41539,0.46955,0.3758,0.47299,0.46175,0.41187,0.43866
CG6327-RA,0.58228,0.76653,0.74583,0.41856,0.50149,NaN,0.82746,0.5247
Fas1,1.0428,1.1083,0.91534,0.88059,1.5109,1.2117,1.2039,1.2432
Pax,0.25302,0.26848,0.29966,0.38431,0.27041,0.19879,0.33305,0.22347
,0.2933,0.17044,0.19382,0.23883,0.22322,0.13847,0.19526,0.22581
gammaSnap,0.70308,0.66268,0.69901,0.61236,0.78357,0.73104,0.74751,0.61195
CG31345-RA,4.9056,3.8708,1.9523,1.9954,4.065,3.7225,4.1861,4.1135
CG5758-RC,3.3697,2.5213,1.9892,1.927,2.151,1.5676,2.4319,2.4364
,1.0502,1.2333,0.87111,1.0111,1.0789,1.3685,1.1594,1.557
LanA,0.17967,0.21644,0.28003,0.27058,0.18244,0.21351,0.21486,0.21732
vps2,1.8383,1.587,2.0451,1.9878,3.4669,1.6082,1.4116,1.5217
,0.97781,0.82283,1.1398,1.1632,1.0017,0.73342,0.90507,1.0298
CG11005,0.69077,0.73937,0.77601,0.69685,0.72788,0.63819,0.65667,0.71124
Atpalpha,0.22026,0.2583,0.24083,0.21563,0.31447,0.27845,0.276,0.31899
p38b,0.59179,0.54514,0.66541,0.66528,0.6454,0.55081,0.5915,0.52892
,0.84165,0.68186,4.2516,3.5981,0.64102,0.6459,0.58701,0.53133
,0.42158,0.41982,0.85191,0.91239,0.41925,0.3758,0.37588,0.48436
Ggamma1,0.97559,1.4894,1.2078,1.3551,1.4468,1.4187,1.1738,1.2189
Tapdelta,0.73331,0.62453,0.95986,1.312,0.69285,0.65608,0.64961,0.6901
sls,0.13464,0.19218,0.2113,0.16789,0.11022,0.24124,0.19408,0.14577
BcDNA.GH05536,3.5573,2.885,2.0326,1.7639,2.035,2.4165,2.882,4.0838
Arr1,0.32386,0.4371,0.28961,0.26893,0.48722,0.44699,0.4772,0.49377
stnB,0.37585,0.39727,0.38033,0.32329,0.46233,0.44961,0.49279,0.50145
IA-2,0.71451,0.64988,0.69315,0.7116,1.0715,0.72984,0.76433,0.68556
,1.3704,1.4833,1.7469,1.7513,1.8481,1.4732,1.6005,1.7307
mRpL30,0.48224,0.53336,1.15,1.1888,0.5314,0.46141,0.48904,0.50646
Tm2,2.6785,2.503,1.363,1.359,2.2389,1.9709,2.3514,2.7398
,0.28872,0.25231,0.55803,0.55894,0.27308,0.24269,0.26779,0.26023
Khc,0.14108,0.17161,0.25244,0.25417,0.16436,0.12621,0.14969,0.11646
dj-1beta,1.2089,1.1212,0.79067,0.75349,1.156,0.97117,1.1275,1.1295
ImpL3,0.48438,0.49645,0.65536,0.63881,0.55383,0.35031,0.47409,0.41366
n-syb,2.6073,2.5881,1.7776,2.0866,3.4211,2.0622,2.0987,2.5946
chp,0.16035,0.1976,0.18351,0.18837,0.22934,0.19285,0.21369,0.21438
scf,0.94295,0.78199,1.4763,1.5128,0.86773,0.70952,0.7236,0.7405
Rab10,0.43668,0.62236,0.83588,0.60784,0.56257,0.56473,0.65071,0.43735
Droj2,0.23466,0.27288,0.43029,0.41384,0.23666,0.26173,0.26152,0.25259
smt3,1.2476,1.5016,1.751,2.0834,1.2509,1.1389,0.69067,1.1463
robl,1.9434,1.4258,2.0975,2.1683,1.7012,1.2536,1.6615,1.5511
Snx6,0.53874,0.55632,0.81194,0.81848,0.60342,0.45684,0.627,0.61975
uzip,1.707,1.9443,2.096,2.5193,2.0986,1.7569,1.9879,2.1342
mt:ND5,0.65503,0.63818,0.52397,0.50973,0.87525,0.63759,0.79046,0.82387
Ank2,0.50842,0.54756,0.60565,0.64792,0.55812,0.6214,0.4841,0.58165
fbl,NaN,NaN,2.963,NaN,NaN,1.0921,0.44906,NaN
Tm1,2.2253,1.6371,1.5917,1.5381,1.623,1.407,1.335,1.398
prom,0.57322,0.62941,0.70618,0.74592,0.90197,0.60218,0.77207,0.73541
