Gene names,Alpha A30P_day_1_1,Alpha A30P_day_1_2,Alpha A53T_day_1_1,Alpha A53T_day_1_2,Alpha _day_1_1,Alpha _day_1_2,
Papss,0.51155,0.50114,0.55098,0.43375,0.61575,0.55276,
NitFhit,0.80903,1.0418,0.97844,NaN,1.0689,1.087,
Hsp27,0.44625,0.32537,0.31535,0.37912,0.3696,0.33624,
bbc,1.5149,0.30577,NaN,NaN,1.3052,NaN,
Fbp2,0.21576,0.21876,0.19206,0.1458,0.099105,0.20287,
sdt,0.2297,0.26315,0.37156,NaN,NaN,NaN,
,NaN,0.97226,NaN,NaN,NaN,NaN,
Nsf2,1.346,0.3106,0.39436,0.35412,0.41654,0.26106,
,1.6458,1.564,1.8818,1.2766,1.5455,1.6497,
,0.39338,0.37062,0.88602,0.51716,0.28018,0.29504,
Fmr1,0.35211,0.36916,0.37736,0.57883,0.39398,0.37041,
Fbp1,1.1313,0.84496,1.4512,1.1001,0.39072,0.50482,
,0.24394,0.23505,0.28678,0.99664,0.8108,0.48571,
Gal,0.6937,0.56375,2.2685,0.70705,0.54763,0.54476,
Dab,0.46299,0.46235,0.56837,NaN,0.2291,0.57197,
Drep-2,0.33623,0.25034,NaN,0.28283,NaN,0.24184,
AGO2,0.37947,0.3034,1.1456,0.36265,0.27508,0.4715,
CG1665-RA,2.5775,2.0442,1.14,0.98218,2.5485,2.1515,
Gint3,0.52403,6.3749,0.70223,NaN,0.65131,7.4883,
,2.0254,1.6089,1.3545,1.196,1.3863,1.5707,
Lsp1alpha,0.67929,0.71916,0.91784,0.75489,0.31085,0.25924,
Hrd3,1.567,1.1055,1.1624,1.1899,1.1662,1.2725,
Liprin-alpha,0.54923,0.42944,0.42006,0.49799,0.39445,0.27828,
Obp56g,2.7573,2.2806,NaN,2.201,3.4127,2.7766,
Osbp,0.33004,0.35549,0.51755,0.29689,0.38026,0.41259,
Pvr,NaN,0.22153,0.34564,0.32209,0.2133,NaN,
qm,0.56881,0.5475,1.263,0.52631,0.43966,0.57688,
dock,0.24752,0.34064,NaN,0.5229,0.42926,NaN,
,1.2479,0.99223,1.4572,0.74225,0.65109,0.66803,
Aats-asp,0.34816,0.27587,0.19133,0.4121,0.38733,0.24924,
,0.13082,0.199,0.18704,0.1778,0.1922,0.11666,
PIP5K59B,0.30521,NaN,0.61993,NaN,0.6995,0.62531,
Scp1,1.51,1.5814,1.4693,1.201,1.5097,1.6193,
CG10361-RA,1.0853,1.5161,1.2117,0.83408,1.1933,1.0331,
CG17493,0.80509,1.0693,NaN,NaN,0.9703,0.83341,
CG5110,1.1085,0.9955,NaN,NaN,0.66271,NaN,
Cpr51A,1.2069,1.0282,0.9163,0.84896,0.99553,1.01,
,0.55242,0.52282,NaN,NaN,NaN,0.54272,
Src42A,0.3247,0.31167,0.33972,0.16905,0.21542,0.24829,
,0.34682,0.34906,0.378,0.49139,0.44327,0.42761,
,0.47785,0.4293,1.6141,0.54404,0.4597,0.51246,
CG6723-RA,0.55704,NaN,0.54304,NaN,NaN,NaN,
,0.22758,0.1835,0.20492,0.28942,0.19728,0.18928,
,0.89455,NaN,1.2511,NaN,0.87209,0.80174,
scb,1.4704,0.97261,NaN,0.71381,0.82262,0.81745,
l(2)01289,0.21793,0.24992,0.20212,0.21216,0.22022,0.22197,
,0.83896,0.95918,0.90359,0.67765,0.86099,0.88038,
,0.45238,NaN,0.49717,NaN,0.2985,1.0573,
,0.47118,0.36494,0.42273,0.32275,0.48313,0.4415,
vir-1,4.317,3.731,3.5508,4.1917,3.6277,3.4888,
mys,0.26762,0.32209,0.39305,0.2916,0.3646,0.2542,
,0.81855,0.87217,1.0249,0.72489,1.0262,5.8346,
CG31751-RA,0.32062,0.32289,0.52537,0.54323,0.30138,0.70633,
kst,0.28982,0.40779,0.30477,0.34211,0.33403,0.40152,
,6.8227,0.2628,0.27497,2.4018,0.39672,0.37425,
,0.96798,0.86082,1.2582,NaN,0.90913,0.87792,
mRpL1,0.40372,0.7279,0.41278,0.48661,0.59246,0.3889,
EG:22E5.5,0.32494,0.31802,0.23483,0.57775,0.63367,0.36036,
Tep3,0.94479,1.1116,1.0911,0.95436,1.0168,1.3388,
,0.91955,0.71671,NaN,NaN,0.78534,1.3023,
PI4KIIIalpha,2.4957,0.56349,0.81584,NaN,NaN,1.0341,
Gbeta5,0.47696,0.4728,NaN,0.50715,0.50841,0.50793,
CG6208-RA,2.1027,1.1581,NaN,NaN,1.3041,1.6706,
Pkc98E,0.4424,0.3997,0.21705,NaN,NaN,NaN,
CG7770,0.70206,0.5994,0.54917,0.48167,0.55044,0.49913,
Prm,2.6341,2.5846,3.7085,2.4299,2.9738,3.6202,
CG1090,0.48177,0.61302,0.67536,0.67478,0.65866,0.80994,
CG1358-RB,1.7298,2.1493,2.0684,2.0214,2.3409,2.1663,
Mlp84B,0.23824,0.16747,0.15443,0.13472,0.18977,0.15348,
Drat,0.39064,0.43082,0.46734,0.32966,0.39123,0.42184,
Tsp42Ed,3.3654,3.1542,3.9622,2.7912,4.8107,4.3104,
Nrt,0.91155,0.95797,1.1565,0.84851,0.8626,0.84678,
Cct5,0.1921,0.19552,0.17004,0.14389,0.19497,0.15038,
LKR,0.97197,1.5432,0.97497,0.89881,1.3128,1.1723,
Neb-cGP,8.1125,7.6656,4.2723,6.524,4.9745,3.9568,
Rbp9,0.54035,0.42928,0.47645,0.46285,0.45918,0.51054,
Hsp26,0.25135,0.22301,0.24151,0.2265,0.19338,0.22789,
Rab35,0.4893,0.64808,0.73023,NaN,0.86618,0.84797,
Skeletor,0.38875,0.41436,0.43536,0.35275,0.50562,0.67543,
CoVa,2.5312,1.9659,1.9012,1.7545,2.192,1.9178,
CG34423-RA,3.9098,3.235,2.6476,NaN,4.4396,4.5555,
G-salpha60A,0.31077,0.31012,0.47316,0.41838,0.36195,0.39153,
TpnC41C,3.3309,2.4949,1.8483,2.3091,1.6098,2.4685,
Rop,0.24889,0.2457,0.3184,0.27317,0.27525,0.2692,
RpL39,0.48567,0.46916,0.64309,0.42934,0.72913,0.61783,
,1.2898,1.3507,1.057,0.79996,1.4086,1.3772,
Mcr,0.53132,0.54517,0.46138,0.39168,0.54132,0.56445,
LanB1,0.14459,0.13383,0.32664,0.25799,0.12199,0.11774,
,0.2439,0.33925,0.29587,0.33523,0.28218,0.31938,
l(1)G0193,0.82098,NaN,NaN,NaN,NaN,0.98409,
Cha,NaN,NaN,NaN,0.44084,NaN,NaN,
,1.6105,NaN,7.9473,NaN,1.0706,NaN,
levy,2.1914,1.9636,2.1403,1.6928,1.9172,2.2567,
tral,0.58245,0.57915,0.56473,0.46931,0.57831,0.53835,
CG3967,0.53279,0.62662,0.64137,0.7146,0.97316,0.63155,
CSN3,0.81619,0.87798,0.67669,0.49339,0.6104,0.84057,
Treh,0.66145,0.70522,0.71271,0.59447,0.74618,0.80788,
futsch,0.92474,1.1073,1.1221,1.0848,1.1983,1.1097,
,0.2689,NaN,0.34884,NaN,NaN,NaN,
Eaat1,0.7669,0.79479,1.2335,0.95992,1.0342,1.0092,
mgl,0.22228,0.59126,0.38653,0.29857,0.74374,0.42504,
,3.6672,3.2171,2.9763,3.0673,3.5682,3.7738,
CG4893,1.2773,1.0992,1.2201,0.95814,1.2583,1.1462,
gish,0.3965,0.51453,0.54693,0.54177,0.3979,0.70262,
CG13043-RA,2.5573,2.1108,NaN,1.9945,3.0085,2.8239,
,0.19183,0.2256,0.19086,0.30915,0.22339,0.21067,
,0.97487,1.0031,1.5096,1.0674,1.048,1.1431,
,0.89758,1.0121,NaN,NaN,0.52082,0.77037,
,0.65178,0.9003,0.65968,0.61612,0.85148,1.016,
SmD2,0.87249,0.80071,0.86163,0.59084,0.7429,0.68919,
Gpo-1,0.70094,0.7774,0.7858,0.64358,0.96093,0.96712,
Ank,0.20484,0.20386,0.24031,0.23214,0.13142,0.21272,
,0.6528,0.69697,0.66686,NaN,0.60616,0.54767,
Cdc42,0.54485,0.61721,0.8269,0.65144,0.74154,0.74242,
TpnC73F,0.16073,0.13082,0.12051,0.10477,0.063382,0.076122,
,0.78903,0.9249,1.0692,0.97797,0.85109,1.0518,
CG5830-RA,0.97027,0.62986,0.67529,0.50071,0.71733,0.62287,
ome,0.9365,0.98669,0.97609,0.74238,0.76606,0.69826,
CG13364,1.0847,1.0122,0.61356,0.88529,0.9612,0.93222,
14-3-3zeta,1.2717,1.4607,1.1537,1.2261,1.1152,1.2933,
,NaN,4.5923,NaN,NaN,5.0333,NaN,
Arp14D;Arp2,0.57475,0.62426,0.61041,0.83494,0.68465,0.63525,
Zasp52,0.1859,0.19652,0.17538,0.18085,0.2647,0.21687,
,0.92968,1.2248,1.1851,1.1914,1.133,1.2693,
AP-1-2beta,0.20817,0.21942,0.30535,0.22381,0.27939,0.25696,
eys,0.60086,0.61936,0.81942,0.676,0.8171,0.81819,
Pmi,1.7494,1.466,1.4888,1.3789,2.0069,1.6587,
jdp,1.2179,1.0432,1.1955,0.94354,1.24,0.96309,
CG10641,1.466,1.1784,0.99798,0.91607,1.1841,1.0174,
,0.1807,0.22106,0.16844,0.18429,0.23424,0.22461,
Rya-r44F,0.22612,0.20416,0.2948,0.16265,0.23197,0.22017,
CG15173,1.2319,1.8305,1.5199,NaN,1.6402,1.9621,
,1.7758,2.0351,1.9815,1.8966,2.8037,2.1475,
Act42A,0.42392,0.36993,0.31887,0.23746,0.31101,0.28416,
Capr,0.46464,0.41685,0.46007,0.55,0.39842,0.34218,
Rbcn-3A,0.17645,0.25022,0.42234,0.30738,0.23388,0.24089,
Fas1,0.92196,1.1726,1.9515,1.2907,1.3267,1.477,
,1.3678,1.3276,1.1868,1.1333,1.464,1.4203,
His1:CG33858;His1;His1:CG33807;His1:CG33834,1.3292,1.3155,1.3977,1.1698,1.5178,1.599,
CaMKII,0.27754,0.29119,0.37059,0.31381,0.31663,0.33704,
Nmdmc,0.85467,0.85618,0.98892,0.75205,0.76192,1.0907,
G-oalpha47A,0.31781,0.35576,0.52111,0.49166,0.4862,0.45398,
Argk,1.653,1.7355,1.3165,1.2458,1.4705,1.6555,
Aats-trp,0.86925,0.73903,0.70869,0.65978,0.62793,0.63616,
,NaN,2.4162,2.598,NaN,0.56349,0.78612,
,3.213,3.319,2.463,2.4116,2.497,2.9874,
Tcp-1eta,0.10232,0.088554,0.082307,0.12105,0.090136,0.095148,
Lsp2,0.20165,0.22753,0.20865,0.18137,0.22722,0.22976,
wupA,1.5534,1.5068,1.2118,1.3248,1.4406,1.4877,
,0.47492,0.44288,0.60841,0.40593,0.46045,0.5475,
,0.78172,0.90223,0.98701,0.64567,NaN,NaN,
CHMP2B,1.5424,1.4827,NaN,NaN,1.4202,1.6369,
Apoltp,0.60736,0.33885,0.37031,0.25125,0.42776,0.37583,
CG1814-RA;CG1814-RB,0.98741,1.0508,1.2156,0.99588,1.2856,1.3212,
pzg,0.22538,0.18502,0.22327,0.14698,0.23606,0.20863,
,0.21017,0.27378,0.18741,0.30916,0.15118,0.20102,
Cpr49Ac,0.8451,0.73743,1.014,0.8764,0.75008,0.73194,
Pu,0.28956,0.22592,0.20928,0.24361,0.25434,0.28754,
,0.1711,0.21992,0.15228,0.14009,0.17723,0.20532,
brp,0.57079,0.56209,0.62902,0.51378,0.5932,0.60921,
Map205,0.24763,0.19102,0.20037,0.23033,0.19931,0.24548,
,4.837,4.2288,5.2472,5.0194,5.8528,6.6741,
l(2)01289,0.17285,0.20555,0.20347,0.16408,0.30813,0.17541,
rump,0.45902,0.49601,0.5422,0.44647,0.47541,0.50788,
ox,3.9587,2.4813,2.847,2.8018,2.9339,3.7723,
CG32103-RB;CG4392,1.1124,1.0479,1.6029,1.0315,1.4097,1.298,
BcDNA.GH02439;BcDNA:GH02439,0.74217,0.84985,1.06,0.83466,1.0044,0.9275,
CG10737-RC,0.33034,0.38392,0.45464,0.42943,0.3639,0.38867,
Unc-89,0.12882,0.15438,0.1126,0.12373,0.13509,0.12561,
CG8500-RA,1.108,1.4948,1.5162,1.1515,1.5153,1.3224,
Cdep,0.49136,NaN,0.91682,0.71557,NaN,NaN,
Su(P),0.60517,0.66256,0.76397,0.54258,0.59703,0.71826,
,0.81259,0.9374,0.99519,0.85028,0.98206,0.93597,
vari,0.6492,0.74767,0.83785,0.53161,0.67768,0.72815,
,0.54865,0.60111,0.86999,0.72989,0.78786,0.71842,
rept,0.48773,0.40475,0.54615,0.46841,0.34929,0.26503,
Mhc,0.2071,0.23664,0.1725,0.18776,0.19423,0.23594,
CG6239,0.25722,0.32792,0.32674,0.33542,0.34686,0.38879,
Arpc1,0.70496,0.72808,0.54304,NaN,0.58387,0.54421,
His2B,1.9645,1.8612,1.7561,1.8129,1.8816,2.0009,
,3.5247,3.1681,3.0237,2.5614,2.9724,2.8954,
pnut,0.48133,0.57479,0.60003,0.45588,0.48372,0.44957,
fax,0.49168,0.51158,0.58226,0.53755,0.53889,0.57574,
Swim,0.653,0.70286,1.1512,0.70035,1.0727,1.1322,
Galpha49B,0.56558,0.65896,0.80669,0.61581,0.64056,0.72215,
,0.7539,0.57493,0.97523,0.72776,0.75218,0.6606,
His4,1.9142,1.7667,2.1221,1.6877,1.7767,1.8936,
,1.8296,1.9642,1.6213,1.461,1.8402,1.8889,
Obp44a,1.1233,0.79266,0.89664,0.6687,0.85122,0.94142,
His2A:CG33856;His2A,1.9258,2.03,1.9283,1.6922,1.9466,1.9894,
betaTub56D,0.25563,0.28608,0.28582,0.28325,0.29031,0.27236,
NP15.6,2.8582,2.8829,2.9082,1.7113,2.3,3.0206,
,1.365,1.3679,1.7011,1.442,1.3373,1.2785,
Dek,1.0093,1.0502,1.3317,1.0997,1.2577,1.1508,
,0.8924,0.80692,1.0068,0.78362,0.65288,0.84388,
,1.3326,1.3325,1.0346,0.92989,1.1992,1.4174,
P58IPK,3.3679,1.4041,1.9757,1.0026,1.4318,1.5018,
,2.4101,2.0044,1.7392,2.0632,2.3809,2.1765,
,1.8805,1.5288,1.4008,1.0577,1.1449,1.3303,
SmD3,1.4054,1.2894,1.2154,0.98295,1.5176,1.3112,
CG8399,0.6922,0.79068,0.97073,0.60096,0.93182,0.78656,
Tm1,2.1119,2.6672,1.9339,1.7021,2.3478,2.2061,
Zn72D,0.27498,0.21902,0.60079,0.68009,0.24719,0.21585,
betaTub97EF,0.43833,0.43011,0.50032,0.43434,0.49431,0.48311,
Chc,2.2902,0.12354,0.093205,0.16888,0.077467,0.077992,
Pcmt,1.703,1.6226,1.2731,1.6165,1.6086,1.4819,
Rab39,0.79457,0.84003,NaN,0.74899,1.101,1.7903,
Hsp68,0.25825,0.25081,0.39171,0.31762,0.22355,0.17876,
AP-2sigma,0.97502,1.1869,1.248,1.2106,1.3028,1.2701,
flw,0.25979,0.29432,0.38424,NaN,0.39001,0.31305,
CG8891,1.1191,0.78686,0.81597,0.50039,0.79428,0.94766,
LamC,0.95838,0.99583,0.89333,0.75753,0.87636,0.91291,
,1.2653,1.3471,1.5636,1.4193,1.5379,1.4932,
,1.4216,1.8686,2.042,1.3974,1.3431,2.053,
Nca,1.1809,1.673,2.0028,1.3843,1.3738,1.3967,
slgA,0.4402,0.54987,0.64315,0.56403,0.64692,0.67265,
Snap,0.84393,0.77617,0.94862,0.76073,0.81104,0.77726,
CG34439-RA,4.4351,4.1299,3.6176,NaN,3.0819,3.1733,
Arc1;CR10102,0.85743,NaN,NaN,NaN,NaN,NaN,
kcc,0.63126,0.72424,1.0114,0.88126,0.81078,0.85735,
TotA,3.0919,2.366,3.5784,2.7352,3.6492,4.4896,
Vps13,0.2801,0.29692,0.27132,0.21935,0.30205,0.22173,
Scox,1.0078,0.84274,0.78307,0.68771,0.5561,0.64427,
Strn-Mlck,0.26163,0.29596,0.25915,0.23624,0.35994,0.32443,
l(2)k09913,0.93213,0.99966,1.1087,1.006,0.9793,1.0617,
Eps-15,0.71373,0.80007,0.79975,0.75475,0.87668,0.82545,
,1.452,1.5366,1.5284,1.3674,1.5683,1.6107,
Prosbeta5,0.67463,0.50908,0.66127,0.50054,0.70287,0.55957,
prc,2.0697,1.6965,NaN,NaN,1.5777,1.3453,
igl,1.6101,1.2777,1.4189,1.5151,1.5758,1.3802,
ste24a,0.61105,0.76401,0.74868,0.75143,0.86557,0.85834,
mtd,0.33925,0.41539,0.47299,0.46175,0.41187,0.43866,
CG6327-RA,0.58228,0.76653,0.50149,NaN,0.82746,0.5247,
Fas1,1.0428,1.1083,1.5109,1.2117,1.2039,1.2432,
Pax,0.25302,0.26848,0.27041,0.19879,0.33305,0.22347,
,0.2933,0.17044,0.22322,0.13847,0.19526,0.22581,
gammaSnap,0.70308,0.66268,0.78357,0.73104,0.74751,0.61195,
CG31345-RA,4.9056,3.8708,4.065,3.7225,4.1861,4.1135,
CG5758-RC,3.3697,2.5213,2.151,1.5676,2.4319,2.4364,
,1.0502,1.2333,1.0789,1.3685,1.1594,1.557,
LanA,0.17967,0.21644,0.18244,0.21351,0.21486,0.21732,
vps2,1.8383,1.587,3.4669,1.6082,1.4116,1.5217,
,0.97781,0.82283,1.0017,0.73342,0.90507,1.0298,
CG11005,0.69077,0.73937,0.72788,0.63819,0.65667,0.71124,
Atpalpha,0.22026,0.2583,0.31447,0.27845,0.276,0.31899,
p38b,0.59179,0.54514,0.6454,0.55081,0.5915,0.52892,
,0.84165,0.68186,0.64102,0.6459,0.58701,0.53133,
,0.42158,0.41982,0.41925,0.3758,0.37588,0.48436,
Ggamma1,0.97559,1.4894,1.4468,1.4187,1.1738,1.2189,
Tapdelta,0.73331,0.62453,0.69285,0.65608,0.64961,0.6901,
sls,0.13464,0.19218,0.11022,0.24124,0.19408,0.14577,
BcDNA.GH05536,3.5573,2.885,2.035,2.4165,2.882,4.0838,
Arr1,0.32386,0.4371,0.48722,0.44699,0.4772,0.49377,
stnB,0.37585,0.39727,0.46233,0.44961,0.49279,0.50145,
IA-2,0.71451,0.64988,1.0715,0.72984,0.76433,0.68556,
,1.3704,1.4833,1.8481,1.4732,1.6005,1.7307,
mRpL30,0.48224,0.53336,0.5314,0.46141,0.48904,0.50646,
Tm2,2.6785,2.503,2.2389,1.9709,2.3514,2.7398,
,0.28872,0.25231,0.27308,0.24269,0.26779,0.26023,
Khc,0.14108,0.17161,0.16436,0.12621,0.14969,0.11646,
dj-1beta,1.2089,1.1212,1.156,0.97117,1.1275,1.1295,
ImpL3,0.48438,0.49645,0.55383,0.35031,0.47409,0.41366,
n-syb,2.6073,2.5881,3.4211,2.0622,2.0987,2.5946,
chp,0.16035,0.1976,0.22934,0.19285,0.21369,0.21438,
scf,0.94295,0.78199,0.86773,0.70952,0.7236,0.7405,
Rab10,0.43668,0.62236,0.56257,0.56473,0.65071,0.43735,
Droj2,0.23466,0.27288,0.23666,0.26173,0.26152,0.25259,
smt3,1.2476,1.5016,1.2509,1.1389,0.69067,1.1463,
robl,1.9434,1.4258,1.7012,1.2536,1.6615,1.5511,
Snx6,0.53874,0.55632,0.60342,0.45684,0.627,0.61975,
uzip,1.707,1.9443,2.0986,1.7569,1.9879,2.1342,
mt:ND5,0.65503,0.63818,0.87525,0.63759,0.79046,0.82387,
Ank2,0.50842,0.54756,0.55812,0.6214,0.4841,0.58165,
fbl,NaN,NaN,NaN,1.0921,0.44906,NaN,
Tm1,2.2253,1.6371,1.623,1.407,1.335,1.398,
prom,0.57322,0.62941,0.90197,0.60218,0.77207,0.73541,
Syx1A,1.3187,1.3556,1.6814,1.8051,1.4886,1.4986,
,2.1504,1.9255,1.7808,1.7448,2.1378,1.9579,
,0.41384,0.50471,0.63742,NaN,0.55991,0.34872,
,0.68659,0.70792,0.70135,0.58775,0.82702,0.74861,
NUCB1,2.2489,1.8628,1.6431,1.3399,1.5866,1.7373,
tsr,0.59755,0.47774,0.57853,0.59433,0.51129,0.55922,
Fas2,1.0558,1.1302,1.2273,1.0976,1.5381,1.5036,
mt:Cyt-b,1.9787,2.1288,1.4723,1.217,2.0184,1.9028,
,0.63212,0.59889,0.64831,0.6061,0.86845,0.80892,
Aac11,0.23422,0.30392,0.31319,0.30299,0.38059,0.28362,
l(3)neo18,3.5804,3.1827,3.5089,2.6599,3.2568,2.9733,
CG32473-RB;CG32473-RC,0.96706,0.54038,0.57315,0.5557,0.50905,0.49841,
,0.34879,0.44423,0.36732,0.33534,0.40004,0.35436,
metro,0.66279,0.62503,0.69992,0.64523,0.52795,0.61436,
Syt1,1.1349,1.1671,1.391,1.0922,1.4374,1.4247,
Gs1,0.89621,0.79905,0.94727,0.89349,0.71704,0.75365,
ltd,1.0102,1.2838,1.5152,1.2048,1.4083,1.301,
Zasp66,5.0602,3.9758,5.3928,4.5579,4.0545,4.7118,
CG15881-RA,1.9002,1.1122,1.1303,1.0634,1.2633,0.93746,
Prx5,2.1148,1.7858,2.1112,1.8325,1.8026,2.0208,
RpS27A;RpL40;Ubi-p5E;Ubi-p63E,0.95776,0.93414,0.84592,0.6822,0.87622,0.82665,
Tsp96F,1.0037,0.86091,1.2797,0.83163,1.1622,1.2111,
bnb,1.5655,1.1773,1.5324,1.3087,1.3651,1.3016,
Nup98-96,0.69889,NaN,0.569,NaN,0.61477,0.43663,
Pfk,0.20576,0.23866,0.20247,0.22409,0.23381,0.2413,
Mlp60A,0.31727,0.29739,0.26575,0.22229,0.21098,0.26702,
,0.61516,0.75031,0.89732,0.65366,0.77504,0.77621,
trol,0.14978,0.19564,0.23019,0.19265,0.28899,0.15277,
Lac,1.1911,1.2387,1.4386,1.303,1.1985,1.2699,
,1.0576,0.9702,0.95934,0.86692,1.1628,1.1282,
SmE,NaN,NaN,NaN,NaN,1.2451,NaN,
,0.66448,0.80529,1.0424,0.35178,0.7256,0.73735,
Cpr62Bc,1.0627,0.96516,1.1822,0.80092,0.99926,1.0715,
Rtnl1,1.3639,1.4347,1.6055,1.4272,1.536,1.4066,
TpnC4,3.891,3.3502,2.5799,2.3731,3.6475,3.4174,
LSm7,1.1261,NaN,NaN,0.73256,1.2461,0.85298,
CRMP,0.28095,0.29402,0.33796,0.28959,0.30501,0.3051,
Act79B,0.50257,0.55641,0.5928,0.43571,0.59083,0.5725,
HmgZ,2.9467,2.8387,3.0266,2.3582,2.7571,3.1008,
,2.0718,2.1732,2.1916,1.3214,1.9742,2.0113,
CG5721,0.25413,0.33947,0.28587,0.23191,0.34739,0.27742,
Sirup,1.7514,1.366,1.8825,1.0618,1.6019,1.5934,
l(1)G0156,0.84306,0.88623,0.79979,0.78392,0.93705,0.98547,
CG5377-RA,3.4501,3.0556,1.9509,2.1843,3.5563,3.0905,
Ca-P60A,0.28502,0.31724,0.31974,0.30642,0.35081,0.36747,
Chmp1,2.1357,1.6683,1.9893,1.7447,1.8105,1.8857,
Bj1,0.73514,0.66323,0.66837,0.58186,0.83127,0.68418,
,0.53694,0.48803,0.42535,0.37013,0.37652,0.3758,
nrv3,1.2194,1.2348,1.515,1.2383,1.4235,1.3769,
up,3.2831,3.405,3.7571,2.5589,4.2211,4.4125,
,1.0712,1.0751,1.0469,0.68615,0.87298,0.96239,
His3.3A;His3,0.96903,1.0431,1.0625,0.97852,1.1357,1.186,
CG42540,1.26,1.5257,1.3442,NaN,1.7507,1.3986,
,2.1263,2.0685,1.6483,1.7906,2.2185,2.1087,
Jupiter,0.96447,0.73797,0.73581,0.65711,0.66902,0.69408,
Cpr72Ec,2.5817,1.9375,2.1571,1.7013,1.7687,2.1218,
Syt7,0.47626,0.69329,0.89302,0.55339,0.71899,0.77951,
,0.46768,0.5269,0.60308,0.34234,0.43415,0.44855,
,0.23045,0.22149,0.21251,0.17164,0.19492,0.21935,
,1.0398,1.2414,1.0639,0.79844,1.0061,0.82597,
Gbeta13F,0.41486,0.4871,0.63382,0.54416,0.40705,0.48738,
GstS1,2.5418,2.1747,1.8095,1.6706,2.1341,2.2197,
Uch,0.64785,0.64082,0.70758,0.53117,0.68301,0.71397,
CG9112,1.5774,1.265,1.3114,1.0576,1.3005,1.2333,
CG6330-RB,0.7932,0.92984,1.0813,0.79604,1.1578,0.91269,
,1.2412,1.2545,0.88262,0.95228,1.0526,1.1427,
l(2)34Fc,0.363,0.33343,0.25221,0.27082,0.24692,0.31013,
l(1)G0196,NaN,0.65582,NaN,NaN,NaN,NaN,
,0.89504,0.8647,NaN,0.78965,0.85633,0.88712,
hoe1,NaN,NaN,1.9609,2.0954,2.3662,2.0633,
fln,4.9839,4.2586,3.2572,2.8188,3.8239,3.7955,
Aats-gly,0.22106,0.29781,0.48977,0.20039,0.28381,0.42639,
,0.62226,0.59337,0.56247,0.43697,0.59248,0.58079,
Scp2,1.8815,1.5805,1.8347,1.5212,1.5588,1.6074,
Chd64,0.77774,0.71504,0.73882,0.64632,0.6475,0.66345,
shi,0.41386,0.51968,0.61748,0.57186,0.58624,0.56322,
Sap47,3.2601,2.9434,3.3067,2.9654,2.6866,2.5047,
inaC,0.13799,0.18297,0.17224,0.17218,0.15978,0.16841,
sn,0.30099,0.26425,0.32229,0.15572,0.26893,0.25452,
,1.8339,1.5791,1.5085,1.3868,1.5452,1.6366,
Cpr49Ae,1.6217,1.8361,1.7222,1.9613,1.4155,1.2231,
Ho,0.97825,1.1033,1.4607,1.0097,1.1925,1.1615,
GstD3,0.77684,0.73139,0.81993,0.64172,0.64251,0.69047,
Cpr64Ac,0.75616,0.63507,0.32289,0.32341,0.39626,0.40158,
Actn,0.21637,0.23698,0.22199,0.2124,0.25378,0.27882,
Rtnl1,2.1447,2.5775,2.4394,1.6619,2.5769,2.9278,
CG17273,0.43088,0.59968,0.48892,0.41102,0.58663,0.47429,
Cyp305a1,NaN,NaN,NaN,NaN,NaN,NaN,
fon,0.43594,0.27384,0.30383,0.22107,0.34668,0.4033,
,0.56993,0.48603,0.61552,0.45748,0.57808,0.59345,
Uev1A,0.69536,0.75176,0.71373,0.44284,0.61224,0.69001,
AnnIX;AnxB9,0.57298,0.61226,0.63483,0.54946,0.54695,0.54902,
CG17593-RA,0.39362,0.30698,1.2078,0.43945,0.44987,0.45577,
P5CDh1,0.43008,0.46482,0.45013,0.45007,0.50143,0.4896,
Updo,1.0446,4.2775,0.19248,0.4552,0.93428,0.88948,
PMCA,0.21485,0.22343,0.2607,0.22604,0.24081,0.23814,
CG31195-RA,0.53637,0.56379,0.53233,0.5251,0.52322,0.55526,
Cpr67B,7.5358,6.6133,8.4438,6.8608,6.8348,6.8849,
Aats-tyr,0.1889,0.22146,0.20455,0.16099,0.21423,0.14275,
Tina-1,0.61065,0.63589,NaN,0.61359,0.62939,0.61558,
Dic1,2.7886,4.315,4.5776,4.2198,4.806,4.0631,
synj,0.20425,0.38019,0.28021,0.36315,0.19635,0.17458,
,1.8097,1.432,1.8621,1.4823,1.6885,1.6014,
Cbs,0.18861,0.3092,0.1703,0.55017,0.17327,0.199,
ens,1.5057,1.275,1.2827,1.0479,1.135,1.1593,
Tm1,2.0521,1.729,1.4534,1.3355,1.382,1.4268,
Pbgs,0.32407,0.35666,0.22613,NaN,0.3701,0.43438,
Cpr49Aa,3.8434,2.6562,3.3617,2.5172,2.7195,3.2133,
fray,0.61007,0.62879,0.53638,0.54589,0.68818,0.62786,
Snap25,1.1811,1.0338,1.2769,1.1961,1.2361,1.4375,
,1.5714,1.1662,1.2466,1.0308,1.2983,1.1759,
Gli,0.84224,0.93694,0.55235,1.0813,0.74155,0.65902,
ogre,0.43187,0.70534,0.60372,2.2965,0.75043,0.70345,
Ilk,0.26634,0.34184,0.40668,0.33549,0.34089,0.26854,
rdgC,0.29185,0.32878,0.39591,0.38783,0.33842,0.27627,
,0.54558,0.56859,0.44261,0.49447,0.60748,0.56035,
CG6412,0.24162,0.19544,0.24105,0.18602,0.24865,0.35901,
Mf,5.2905,3.9536,3.8093,3.3617,3.6571,4.0877,
