Gene names, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2,
l(2)08717,NaN,NaN,NaN,NaN,
KrT95D,NaN,NaN,NaN,NaN,
mRpL35,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.48625,
,NaN,NaN,NaN,NaN,
CG13638,NaN,NaN,NaN,NaN,
lva,NaN,NaN,0.54629,1.3736,
Yippee,NaN,NaN,NaN,NaN,
ns1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
GalNAc-T2,NaN,NaN,NaN,NaN,
Obp83g,NaN,NaN,NaN,NaN,
Atx2,NaN,NaN,0.73635,0.7736,
,NaN,NaN,NaN,NaN,
EG:171D11.2,0.44221,NaN,NaN,NaN,
,NaN,NaN,NaN,0.78228,
Art8,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Pis,NaN,NaN,0.96559,1.3068,
kuk,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,0.52921,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
TBPH,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
GV1,NaN,NaN,NaN,NaN,
Ance-3,NaN,NaN,NaN,NaN,
gw,NaN,NaN,NaN,NaN,
CG43154,NaN,NaN,NaN,NaN,
,NaN,NaN,1.081,1.374,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.43181,
CG17159,NaN,NaN,NaN,0.68591,
,NaN,NaN,NaN,NaN,
l(2)09851,NaN,NaN,NaN,NaN,
mRpS5,NaN,NaN,NaN,NaN,
,NaN,NaN,1.1811,NaN,
CG17683,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,2.0024,
,NaN,NaN,NaN,0.61562,
Spn43Ad,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG7117,NaN,NaN,NaN,NaN,
Golgin84,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Dim1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
NT5E-2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
rumi,NaN,NaN,NaN,1.3176,
CG14722,NaN,NaN,NaN,NaN,
Tsp,NaN,NaN,NaN,NaN,
,0.28295,NaN,NaN,NaN,
CenB1A,NaN,NaN,NaN,NaN,
Idgf5,NaN,NaN,0.73311,0.47447,
,NaN,NaN,NaN,NaN,
hpo,NaN,NaN,NaN,NaN,
BEST:CK00246,NaN,NaN,NaN,NaN,
obst-E,NaN,NaN,NaN,NaN,
beg,NaN,NaN,NaN,NaN,
mRpL47,NaN,NaN,2.5893,1.8947,
scpr-B;scpr-C;scpr-A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
ena,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
BEST:CK02213,NaN,NaN,NaN,NaN,
boca,NaN,NaN,1.0745,1.0111,
fdl,NaN,NaN,NaN,NaN,
bonsai,NaN,NaN,NaN,NaN,
BEAF-32,NaN,NaN,0.54699,NaN,
mtacp1,NaN,NaN,NaN,NaN,
Rel,NaN,NaN,NaN,NaN,
S6k,NaN,NaN,NaN,NaN,
U2af38,NaN,NaN,NaN,NaN,
Rga,NaN,NaN,NaN,NaN,
Dref,NaN,NaN,NaN,NaN,
Nrx-IV,NaN,NaN,NaN,NaN,
jeb,NaN,NaN,NaN,NaN,
mats,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG11412,NaN,NaN,NaN,NaN,
Tom20,NaN,NaN,NaN,NaN,
Git,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG10038,NaN,NaN,NaN,0.35858,
pita,NaN,NaN,NaN,NaN,
,NaN,NaN,0.30545,NaN,
,NaN,NaN,NaN,NaN,
Pask,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG30291,NaN,NaN,1.7444,1.6133,
CG11955,NaN,NaN,NaN,NaN,
CG7506,NaN,NaN,NaN,3.6645,
fwe,NaN,NaN,NaN,NaN,
Slimp,NaN,NaN,NaN,NaN,
CG9798,NaN,NaN,NaN,NaN,
CG4953,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG15187,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Mf,NaN,NaN,NaN,NaN,
alpha-Est5,NaN,NaN,0.28372,0.2877,
Rpb7,NaN,NaN,NaN,NaN,
Mms19,NaN,NaN,NaN,NaN,
CG3209-RA,NaN,NaN,NaN,NaN,
Sap47,NaN,NaN,NaN,NaN,
Cep135,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CycK,NaN,NaN,NaN,NaN,
lgs,NaN,NaN,NaN,NaN,
Cog3,NaN,NaN,NaN,NaN,
CG11058,NaN,NaN,NaN,NaN,
BG:DS00941.11,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Rala,NaN,NaN,NaN,NaN,
Pax,NaN,NaN,NaN,NaN,
zip,NaN,NaN,NaN,NaN,
Ranbp16,NaN,NaN,NaN,NaN,
mbo,NaN,NaN,NaN,NaN,
CG4733-RA,NaN,NaN,NaN,NaN,
Jupiter,NaN,NaN,NaN,NaN,
Jupiter,NaN,NaN,NaN,NaN,
,0.67893,NaN,NaN,0.54919,
CG8223,0.63669,NaN,NaN,0.71451,
,NaN,NaN,NaN,NaN,
mRpL36,NaN,NaN,NaN,NaN,
CG11505,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
chb,NaN,NaN,0.50209,0.51243,
trc,NaN,NaN,1.0062,1.1265,
SH3PX1,NaN,NaN,NaN,0.58264,
Tre1,NaN,NaN,NaN,NaN,
ligatin,NaN,NaN,NaN,NaN,
GNBP3,NaN,NaN,NaN,NaN,
san,1.6703,NaN,NaN,1.254,
Adar,NaN,NaN,NaN,NaN,
spt4,NaN,NaN,NaN,NaN,
EG:140G11.5,NaN,NaN,NaN,NaN,
Surf1,NaN,NaN,NaN,NaN,
BcDNA.LD34475,NaN,NaN,NaN,NaN,
tty,NaN,NaN,NaN,NaN,
Peb,NaN,NaN,NaN,NaN,
ECSIT,0.57657,NaN,NaN,0.88365,
Syt4,NaN,NaN,NaN,NaN,
csul,NaN,NaN,NaN,NaN,
rdgBbeta,NaN,NaN,NaN,NaN,
Vps28,NaN,NaN,0.78062,NaN,
krz,NaN,NaN,0.62864,0.794,
Catsup,NaN,NaN,1.3476,1.2186,
Ero1L,NaN,NaN,NaN,NaN,
c12.1,NaN,NaN,NaN,NaN,
CG9063,NaN,NaN,NaN,NaN,
mRpL4,NaN,NaN,NaN,NaN,
Coprox,NaN,NaN,NaN,NaN,
Srp54k,NaN,NaN,NaN,0.36474,
spag,NaN,NaN,NaN,NaN,
cyp33,NaN,NaN,NaN,NaN,
Nxt1,NaN,NaN,NaN,NaN,
Nab2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
wds,NaN,NaN,NaN,0.82367,
BG:DS09217.4,NaN,NaN,NaN,NaN,
Cbp20,NaN,NaN,NaN,NaN,
TM9SF4,NaN,NaN,NaN,NaN,
l(2)35Bc,NaN,NaN,NaN,NaN,
Jafrac2,NaN,NaN,NaN,NaN,
GABA-B-R1,NaN,NaN,NaN,NaN,
Acp36DE,NaN,NaN,NaN,NaN,
heix,NaN,NaN,NaN,NaN,
SC35,NaN,NaN,NaN,NaN,
dare,0.51466,NaN,NaN,NaN,
CG4500,NaN,NaN,0.23048,1.2623,
x16,NaN,NaN,NaN,NaN,
BcDNA.LD23634,NaN,NaN,NaN,NaN,
ck,NaN,NaN,NaN,NaN,
crp,NaN,NaN,NaN,NaN,
CG8801,NaN,NaN,NaN,NaN,
Smg5,NaN,NaN,NaN,NaN,
Met75Ca,NaN,NaN,NaN,NaN,
Nup154,NaN,NaN,NaN,NaN,
Nup107,NaN,NaN,NaN,NaN,
Cul-3,NaN,NaN,NaN,NaN,
cals,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG10323,NaN,NaN,NaN,NaN,
yellow-h,NaN,NaN,NaN,NaN,
Hcf,0.6262,NaN,NaN,0.54286,
Asator,0.24866,NaN,NaN,NaN,
Cyp4e1,NaN,NaN,NaN,NaN,
Cyp6a13,NaN,NaN,0.40704,0.29651,
Cyp4p1,NaN,NaN,NaN,NaN,
wun,NaN,NaN,NaN,NaN,
CG8858,NaN,NaN,NaN,1.1595,
Taz,NaN,NaN,NaN,NaN,
Fsn,NaN,NaN,NaN,NaN,
CG13343,NaN,NaN,NaN,NaN,
mRpS16,NaN,NaN,NaN,NaN,
Cpsf160,NaN,NaN,NaN,NaN,
Cyp6a21,NaN,NaN,NaN,0.43991,
CG10253,NaN,NaN,NaN,NaN,
CG5189,NaN,NaN,NaN,0.84723,
sec6,NaN,NaN,NaN,NaN,
Rep,NaN,NaN,NaN,NaN,
Obp56h,NaN,NaN,NaN,NaN,
Obp57c,NaN,NaN,NaN,NaN,
Cyp6u1,NaN,NaN,NaN,NaN,
ubl,NaN,NaN,NaN,NaN,
phtf,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.49772,
Cul-2,NaN,NaN,0.45138,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG11563-RA,NaN,NaN,NaN,NaN,
CG11337-RD,NaN,NaN,NaN,4.3052,
mRpL32,NaN,NaN,NaN,NaN,
qless,NaN,NaN,NaN,NaN,
CG1544,0.36519,NaN,NaN,0.39797,
Npc2h,NaN,NaN,NaN,NaN,
CG2224-RA,NaN,NaN,NaN,NaN,
mRpS18C,NaN,NaN,NaN,NaN,
CG34317-RA,0.68863,NaN,NaN,NaN,
,NaN,NaN,1.1899,NaN,
Tace,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.71524,
,NaN,NaN,NaN,NaN,
eIF2B-alpha,NaN,NaN,NaN,NaN,
yata,NaN,NaN,NaN,NaN,
IntS11,NaN,NaN,NaN,NaN,
CG1969;CG1969-RB,NaN,NaN,NaN,1.0934,
CG7598,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Bub3,NaN,NaN,NaN,NaN,
Spase12,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Mesh1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG11880,NaN,NaN,NaN,NaN,
alpha-Man-Ib,NaN,NaN,NaN,NaN,
Cul-5,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
WASp,NaN,NaN,NaN,1.0799,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mfrn,NaN,NaN,NaN,0.5541,
BCAS2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.57042,
Sce,NaN,NaN,NaN,NaN,
CG12883-RA,NaN,NaN,NaN,NaN,
RpS10a,NaN,NaN,NaN,NaN,
raps,NaN,NaN,0.418,1.182,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,1.2989,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,1.7646,NaN,
CG6073,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
RpL34a,1.1596,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Mst57Da,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Dhap-at,NaN,NaN,NaN,NaN,
Vps33B,NaN,NaN,NaN,NaN,
alrm,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.79153,
CG31370-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.39394,0.49649,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Nup37,NaN,NaN,NaN,NaN,
to,NaN,NaN,0.45982,0.4367,
,NaN,NaN,NaN,NaN,
CG10420,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Clbn,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
PQBP1,NaN,NaN,NaN,NaN,
CG13644,NaN,NaN,1.2882,1.2968,
,NaN,NaN,NaN,NaN,
polybromo,NaN,NaN,NaN,NaN,
Rpb10,NaN,NaN,NaN,NaN,
Syx18,NaN,NaN,NaN,NaN,
CG5789-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,0.65421,0.6512,
,NaN,NaN,NaN,NaN,
Dis3,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,1.8589,NaN,NaN,NaN,
mask,NaN,NaN,NaN,NaN,
CG5515-RA,NaN,NaN,NaN,NaN,
mRpS24,NaN,NaN,NaN,NaN,
Kal1,NaN,NaN,NaN,NaN,
CG5463,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ndc1,NaN,NaN,NaN,NaN,
eIF4G2,NaN,NaN,NaN,NaN,
mbc,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG10214,NaN,NaN,NaN,NaN,
,NaN,NaN,1.1398,NaN,
EloA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.89262,0.94765,
CG13830-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,0.8663,0.98234,
klg,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Usp12-46,NaN,NaN,NaN,NaN,
CG13841-RA,NaN,NaN,2.8415,NaN,
,NaN,NaN,NaN,NaN,
HP1c,NaN,NaN,NaN,0.76261,
CG6982-RC,NaN,NaN,NaN,NaN,
Cyp6d4,NaN,NaN,NaN,NaN,
Nup133,NaN,NaN,NaN,NaN,
mRpL45,NaN,NaN,NaN,NaN,
EF-G2,NaN,NaN,NaN,NaN,
CSN6,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Pebp1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG5382,NaN,NaN,NaN,NaN,
Cchl,NaN,NaN,3.7055,NaN,
lsn,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Oga,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG5862,1.7767,NaN,NaN,NaN,
Ubpy,NaN,NaN,NaN,NaN,
,NaN,NaN,0.55345,0.65988,
sec15,NaN,NaN,NaN,NaN,
RhoGAP93B,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
RpS30,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,1.5731,
,NaN,NaN,NaN,NaN,
psidin,0.1929,NaN,NaN,NaN,
Xport,NaN,NaN,NaN,NaN,
RhoGAP92B,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG6231-RD,NaN,NaN,NaN,NaN,
Dys,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL55,NaN,NaN,NaN,NaN,
,NaN,NaN,1.3311,1.4798,
,NaN,NaN,0.36934,NaN,
,NaN,NaN,NaN,NaN,
snRNP-U1-C,NaN,NaN,0.89679,NaN,
Smu1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cpsf73,NaN,NaN,NaN,NaN,
CstF-64,NaN,NaN,NaN,NaN,
CG7694,NaN,NaN,NaN,0.72179,
Nup43,NaN,NaN,NaN,NaN,
PKD,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Rpb4,NaN,NaN,NaN,1.2116,
,NaN,NaN,NaN,NaN,
CG7993,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ssdp,NaN,NaN,NaN,NaN,
Prx5-RA,NaN,NaN,NaN,0.95519,
,NaN,NaN,0.42267,NaN,
,NaN,NaN,NaN,NaN,
CG7477,NaN,NaN,NaN,NaN,
AttD,NaN,NaN,NaN,NaN,
SF1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpS11,NaN,NaN,NaN,NaN,
Patr-1,NaN,NaN,NaN,NaN,
,NaN,NaN,0.39691,0.39205,
CG17556-RA,NaN,NaN,NaN,0.66047,
modSP,NaN,NaN,NaN,NaN,
CG10326,NaN,NaN,NaN,NaN,
mRpS33,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG17931,NaN,NaN,NaN,NaN,
Sulf1,NaN,NaN,NaN,NaN,
Bin1,NaN,NaN,NaN,NaN,
,0.38881,NaN,NaN,NaN,
sxe2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Hmt-1,NaN,NaN,0.26712,0.228,
alpha-Man-IIb,NaN,NaN,NaN,NaN,
Acyp2,NaN,NaN,NaN,0.93937,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.78237,
ldlCp,NaN,NaN,NaN,NaN,
CG12258,NaN,NaN,NaN,NaN,
Aats-ser,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mRpL9,NaN,NaN,NaN,1.2854,
Rpb7,NaN,NaN,NaN,NaN,
Mf,NaN,NaN,NaN,NaN,
Nup93-2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Pde6,NaN,NaN,0.23445,0.24573,
mRpL11,NaN,NaN,NaN,NaN,
Aats-met,NaN,NaN,NaN,NaN,
Npc2b,1.8247,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cht5,NaN,NaN,NaN,NaN,
ninaB,NaN,NaN,NaN,NaN,
flfl,NaN,NaN,NaN,NaN,
rin,NaN,NaN,NaN,NaN,
poly,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.41056,0.35097,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG5608-RA,NaN,NaN,0.65325,0.57934,
CG5641,NaN,NaN,NaN,0.70386,
CG17202,NaN,NaN,NaN,NaN,
Dip-C,NaN,NaN,1.1966,0.86702,
GstD5,NaN,NaN,NaN,NaN,
GstD10,NaN,NaN,NaN,NaN,
MBD-R2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG3532-RB,NaN,NaN,NaN,NaN,
Cad87A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
ClC-a,NaN,NaN,NaN,NaN,
Lk6,NaN,NaN,NaN,NaN,
,NaN,NaN,4.0975,0.49949,
,NaN,NaN,NaN,NaN,
Elp1,NaN,NaN,NaN,NaN,
wkd,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ranbp9,NaN,NaN,NaN,NaN,
Arfip,NaN,NaN,NaN,0.63554,
CG14701,NaN,NaN,NaN,NaN,
CG17726,0.2645,NaN,NaN,NaN,
CG6693,NaN,NaN,NaN,NaN,
Ugt35a,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.60944,0.9152,
,NaN,NaN,NaN,1.5303,
Art1,NaN,NaN,NaN,NaN,
mRpL37,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Bruce,NaN,NaN,NaN,NaN,
Invadolysin,0.87392,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Art4,NaN,NaN,NaN,NaN,
CG12945-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG9396-RA,NaN,NaN,NaN,NaN,
Vps45,NaN,NaN,NaN,NaN,
,NaN,NaN,0.63812,0.66463,
by,0.82149,NaN,NaN,0.56142,
CG9363,NaN,NaN,NaN,NaN,
CG18473,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Vps16A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
hyx,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
RagA-B,NaN,NaN,NaN,NaN,
CAHbeta,NaN,NaN,NaN,NaN,
pyd,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG9773,NaN,NaN,NaN,NaN,
mRpL19,NaN,NaN,2.7713,3.1489,
CG8021-RA,NaN,NaN,3.5605,4.9463,
mRpS18A,NaN,NaN,NaN,NaN,
PQBP-1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Atg13,NaN,NaN,NaN,NaN,
tex,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Gie,NaN,NaN,NaN,NaN,
,NaN,NaN,0.41782,0.49249,
unc-45,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
wtrw,NaN,NaN,NaN,NaN,
Neurochondrin,NaN,NaN,0.57774,0.34883,
CG1104,NaN,NaN,NaN,0.96531,
,NaN,NaN,NaN,NaN,
Dpck,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
lap,0.93265,NaN,NaN,0.94489,
,NaN,NaN,NaN,NaN,
alpha-Est8,NaN,NaN,NaN,NaN,
l(2)k14505,NaN,NaN,NaN,NaN,
Mcm10,NaN,NaN,NaN,NaN,
CG9246,NaN,NaN,NaN,NaN,
CG12050-RB,NaN,NaN,NaN,NaN,
CG31676-RA,1.0838,NaN,NaN,1.1044,
Spn38F,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ns4,NaN,NaN,NaN,NaN,
CG9319-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Arc-p34,NaN,NaN,NaN,1.0765,
mRpS18B,NaN,NaN,0.72941,NaN,
vls,NaN,NaN,NaN,NaN,
Hf,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
pcna2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG33116-RA,NaN,NaN,NaN,NaN,
CG10166,NaN,NaN,NaN,0.77469,
,NaN,NaN,NaN,NaN,
swm,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Rab9,0.88655,NaN,NaN,NaN,
CG9987,NaN,NaN,NaN,NaN,
l(2)37Ce,NaN,NaN,NaN,NaN,
l(2)37Cb,NaN,NaN,NaN,NaN,
l(2)37Bb,NaN,NaN,NaN,NaN,
Acn,NaN,NaN,0.40268,0.97495,
mib2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Nedd8,NaN,NaN,NaN,1.3263,
mRpL13,NaN,NaN,NaN,NaN,
,NaN,NaN,0.82506,2.1776,
BEST:LD25345,NaN,NaN,0.73413,NaN,
Faf,NaN,NaN,NaN,NaN,
Jwa,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
rdo,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,1.2011,NaN,
fws,NaN,NaN,NaN,NaN,
Rpb11,NaN,NaN,2.4218,1.1018,
,NaN,NaN,NaN,NaN,
yellow-b,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG17904,NaN,NaN,0.8199,0.35168,
,NaN,NaN,0.34129,0.3815,
l(2)35Bd,NaN,NaN,NaN,NaN,
dyn-p25,NaN,NaN,NaN,NaN,
CG9267-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,9.9607,1.0661,
Nnp-1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG31729-RA;CG6263,NaN,NaN,NaN,0.2398,
,NaN,NaN,NaN,NaN,
Ski6,NaN,NaN,NaN,NaN,
kek4,NaN,NaN,NaN,NaN,
DnaJ-H,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ced-12,0.56478,NaN,NaN,NaN,
RpL7-like,NaN,NaN,NaN,NaN,
CG6770-RA,NaN,NaN,1.1994,NaN,
CG6766-RA,NaN,NaN,NaN,NaN,
CG16965-RB,NaN,NaN,0.47125,0.60263,
CycY,NaN,NaN,NaN,NaN,
BcDNA.GH07269,NaN,NaN,NaN,NaN,
Ppt2,NaN,NaN,NaN,NaN,
hgo,NaN,NaN,0.34426,0.35039,
Nup160,NaN,NaN,NaN,NaN,
CG6230-RA,NaN,NaN,0.20626,0.243,
l(2)gd1,NaN,NaN,NaN,NaN,
Ge-1,NaN,NaN,NaN,0.43786,
SCAR,NaN,NaN,1.1978,1.0197,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG6724,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,1.0218,0.91402,
,NaN,NaN,NaN,NaN,
CG18302-RA,NaN,NaN,1.164,1.4367,
,NaN,NaN,2.7521,3.4479,
,NaN,NaN,NaN,NaN,
,NaN,NaN,0.51703,0.53481,
,NaN,NaN,NaN,NaN,
CG5198,NaN,NaN,NaN,NaN,
CG4968,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Mob3,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Npc1a,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Spn31A,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG4592-RA,NaN,NaN,NaN,NaN,
Srp54,NaN,NaN,NaN,NaN,
zf30C,NaN,NaN,NaN,NaN,
Cyp4e3,NaN,NaN,0.22255,0.24504,
,NaN,NaN,NaN,NaN,
Mco1,NaN,NaN,NaN,NaN,
,1.5203,NaN,NaN,NaN,
CG18661,NaN,NaN,0.89294,0.78117,
,NaN,NaN,NaN,NaN,
Trs23,NaN,NaN,1.0307,1.1877,
PrBP,NaN,NaN,NaN,NaN,
mRpL51,4.511,NaN,NaN,3.8026,
CG13096,NaN,NaN,NaN,NaN,
ESTS:172F5T,NaN,NaN,NaN,NaN,
lectin-29Ca,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Wdr82,NaN,NaN,NaN,NaN,
CG7627-RA,NaN,NaN,NaN,NaN,
CG7787,NaN,NaN,NaN,NaN,
wol,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Spn28F,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Rbsn-5,NaN,NaN,NaN,NaN,
mon2,NaN,NaN,NaN,NaN,
poe,NaN,NaN,NaN,0.51076,
,NaN,NaN,NaN,NaN,
Wwox,NaN,NaN,NaN,NaN,
Proct,NaN,NaN,NaN,NaN,
r2d2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cyp4d21,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG5181,NaN,NaN,NaN,NaN,
Rab30,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
SA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.32475,
