Gene names, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2
Pvr,0.29527,0.33851,0.3567,0.27271,0.32724,0.26559
qm,0.73365,0.83795,0.78757,NaN,1.0021,0.81912
dock,NaN,0.62267,0.53566,0.4048,NaN,NaN
,0.90119,1.3897,0.91374,1.0451,1.2265,1.3227
Aats-asp,0.36793,0.46264,0.44291,0.51252,0.51825,1.4231
,0.096521,0.093113,0.071877,0.072254,0.063697,0.08993
PIP5K59B,0.67653,0.82565,0.28141,NaN,0.30581,0.32456
Scp1,0.79154,0.90128,0.77968,0.85961,1.1514,1.2854
CG10361-RA,2.6098,0.53089,0.39735,0.52365,0.49034,0.48304
CG17493,1.06,0.91664,1.1765,1.4555,NaN,NaN
CG5110,0.99122,NaN,NaN,1.394,1.0058,1.1161
Cpr51A,1.9295,1.6845,1.5514,1.6088,1.5703,1.9167
,0.63674,NaN,0.48647,0.47708,0.78318,NaN
Src42A,0.3709,0.32488,0.26035,0.37448,0.3137,0.4625
,0.29824,0.28459,0.26144,0.38743,0.30826,0.28651
,1.0818,1.7048,1.5473,0.94082,1.5141,NaN
CG6723-RA,0.85724,0.65952,0.58989,NaN,0.62799,0.49873
,0.12318,0.1364,0.2052,0.11732,0.15596,0.18261
,1.9655,0.89855,1.1945,1.0815,0.78149,0.95375
scb,1.8454,NaN,NaN,2.2176,2.1368,2.9816
l(2)01289,0.29716,0.24338,0.25386,0.27248,0.37261,0.34863
,0.62793,0.74241,0.75447,0.71133,0.52446,0.66433
,NaN,NaN,NaN,0.57417,0.36955,0.25735
,0.45111,0.45104,0.39097,0.46336,0.44319,0.40819
vir-1,1.8498,1.895,1.6938,1.8407,1.6206,1.6359
mys,0.43265,0.4164,0.32404,0.42157,0.47318,0.42838
,4.2397,1.2026,1.7186,1.0502,7.2308,1.5348
CG31751-RA,0.71351,0.51372,0.66689,0.52507,0.81363,0.58526
kst,0.28552,0.38967,0.31207,0.6384,0.49587,0.34506
,0.36373,0.30489,0.44074,0.29553,0.3996,0.42101
,1.6704,1.1272,1.5195,1.3086,1.6556,1.6333
mRpL1,1.4433,NaN,NaN,NaN,NaN,1.924
EG:22E5.5,0.57763,0.4724,0.56307,0.4755,0.61404,0.56949
Tep3,1.3769,0.95357,1.1895,1.0255,1.1078,1.108
,1.2273,0.68629,0.58422,0.58691,0.95443,0.79925
PI4KIIIalpha,NaN,0.26793,0.1925,0.21484,1.449,0.71387
Gbeta5,0.54665,0.51988,0.49541,0.50089,NaN,NaN
CG6208-RA,1.6805,1.5926,1.7036,NaN,NaN,NaN
Pkc98E,0.24434,NaN,0.25501,0.18074,0.33371,0.35666
CG7770,1.5431,1.1424,1.2859,1.1845,1.4367,1.6652
Prm,1.0726,1.6905,1.2824,1.4028,1.4399,1.0165
CG1090,0.6043,0.62378,0.57035,0.65058,0.57032,0.55725
CG1358-RB,1.428,1.3396,1.1822,1.3817,1.187,1.2693
Mlp84B,0.23624,0.20408,0.22818,0.239,0.25294,0.25482
Drat,0.45498,0.42877,0.52901,0.48826,0.48047,0.40956
Tsp42Ed,2.63,2.6451,2.1985,2.256,2.4839,2.8426
Nrt,2.0505,1.4665,1.1418,1.5887,1.7567,NaN
Cct5,0.46378,0.49036,0.54334,0.61114,0.61134,0.52316
LKR,0.46563,0.41795,0.49462,0.34136,0.49129,0.5398
Neb-cGP,2.984,5.146,3.1621,3.0933,3.2219,3.4959
Rbp9,1.3003,1.3472,1.285,1.5814,1.1744,1.2054
Hsp26,0.75784,0.70265,1.0915,1.2151,1.4245,1.4331
Rab35,1.0159,0.59356,0.91094,1.0898,0.73927,0.87985
Skeletor,1.5374,1.4464,1.6563,1.7931,NaN,NaN
CoVa,1.4298,1.0781,1.3647,1.2993,1.2643,1.5011
CG34423-RA,2.4176,2.2926,2.0329,1.8091,NaN,NaN
G-salpha60A,0.41489,0.39529,0.39868,0.51142,0.38988,0.46343
TpnC41C,2.1468,1.9479,1.9415,NaN,2.0736,NaN
Rop,0.28124,0.24024,0.25061,0.29013,0.27059,0.27084
RpL39,1.0721,1.1585,1.1814,1.0997,1.0176,1.1884
,1.4453,1.6436,1.1386,1.3127,1.6768,1.4417
Mcr,0.86661,0.68277,0.76519,0.7862,0.64999,0.71556
LanB1,0.14891,0.21182,0.13034,0.14089,0.13198,0.14744
,0.23653,0.2846,0.25251,0.31091,0.31499,0.27279
l(1)G0193,NaN,NaN,0.87622,NaN,1.1919,NaN
Cha,0.16886,0.19543,0.15941,NaN,0.22047,0.18765
,0.90881,1.0963,0.76567,0.92685,0.87559,0.73416
levy,0.86403,1.1493,0.9581,0.94899,1.1019,0.99084
tral,0.72942,0.56727,0.8039,0.66616,0.99385,0.81834
CG3967,0.83171,0.78416,0.75908,0.84223,0.6898,0.66923
CSN3,1.3143,1.2172,1.1719,0.92447,1.2,NaN
Treh,0.55545,0.5472,0.47157,0.52689,0.53801,0.56173
futsch,0.89076,0.91293,0.81138,0.8342,0.80892,0.81947
,NaN,NaN,NaN,0.29484,NaN,0.40243
Eaat1,1.1071,0.89046,1.0332,0.99962,1.231,0.94736
mgl,0.54023,5.7711,1.9932,1.785,4.2172,0.26396
,2.9018,2.8055,2.8685,2.5556,2.3162,2.4393
CG4893,1.5206,1.645,1.5395,1.5406,1.485,1.4804
gish,0.57398,0.45628,0.52694,0.45114,0.46578,0.53856
CG13043-RA,4.3327,4.6812,3.4654,3.4916,NaN,3.907
,0.39821,0.37736,0.51342,0.40309,0.33067,0.43782
,1.1293,0.90182,0.77203,0.84251,0.95437,NaN
,0.82867,0.87017,1.586,0.51081,0.65854,0.5908
,0.9585,0.90076,0.95216,2.2467,0.7916,0.94012
SmD2,NaN,1.02,0.89047,1.0485,4.4266,1.3165
Gpo-1,0.41159,0.42886,0.44775,0.46196,0.66494,0.68773
Ank,0.24013,0.1648,0.35599,0.21811,0.22591,0.2051
,1.3483,0.83643,0.77295,0.76734,0.58932,0.42671
Cdc42,1.0747,0.8096,0.85911,0.89799,0.9906,0.82943
TpnC73F,1.1513,1.3129,1.8896,1.9449,1.8783,2.2103
,0.4442,0.82661,0.71582,0.70012,0.75932,0.79866
CG5830-RA,0.56937,0.64946,1.1818,1.3603,0.59064,0.77038
ome,1.7983,1.6165,1.3421,1.3788,1.7753,1.9285
CG13364,1.549,NaN,1.5708,1.4211,1.7399,1.3644
14-3-3zeta,1.0405,1.0647,1.0174,1.0502,1.0084,0.89181
,1.8113,2.2261,1.653,1.6161,2.2829,2.1043
Arp14D;Arp2,0.81269,0.76025,0.85534,1.0838,0.70969,0.76246
Zasp52,0.20856,0.29671,0.17543,0.2176,0.30816,0.23512
,1.1038,1.0106,1.0023,1.1149,0.9683,0.86819
AP-1-2beta,0.2831,0.31104,0.28542,0.27122,0.23774,0.27911
eys,0.7388,0.67473,0.65484,0.64786,0.62113,0.65047
Pmi,0.90633,0.87582,0.86476,0.91339,0.87528,0.89462
jdp,0.96322,0.95772,1.0263,0.86951,0.85522,0.89642
CG10641,1.9146,2.1668,1.9373,1.6014,2.2217,1.8035
,0.3406,0.34124,0.30906,0.33296,0.33337,0.31476
Rya-r44F,0.21894,0.31898,0.25629,0.24029,0.2533,0.36547
CG15173,2.1402,1.7482,1.925,1.684,1.4991,1.7411
,1.3135,1.6617,1.0523,2.116,1.9451,1.5059
Act42A,0.66663,0.6432,0.56997,0.593,0.65953,0.54404
Capr,0.8331,0.87598,0.87178,0.98249,0.86502,0.95507
Rbcn-3A,0.12983,0.18374,0.18694,0.30305,0.14382,0.20534
Fas1,0.78746,0.75092,0.7207,0.90105,0.75654,0.75866
,1.3507,1.5739,1.2081,1.7918,1.4422,1.5224
His1:CG33858;His1;His1:CG33807;His1:CG33834,1.4379,1.6313,1.4861,1.4784,1.3995,1.3773
CaMKII,0.40629,0.39601,0.36789,0.34461,0.3829,0.37082
Nmdmc,1.2305,1.0756,0.96233,0.8284,0.91499,0.7914
G-oalpha47A,0.38618,0.36153,0.42987,0.39959,0.38396,0.38229
Argk,1.1972,1.1252,1.1362,0.9444,1.0701,1.0115
Aats-trp,0.98698,1.0902,0.89909,1.1026,0.92363,0.93325
,NaN,0.86507,5.3945,NaN,1.9529,NaN
,1.8083,2.0217,1.9278,1.6601,2.2035,2.3291
Tcp-1eta,0.23986,0.20028,0.31051,0.27461,0.2529,0.26349
Lsp2,1.1443,1.2366,2.0625,2.3376,4.2737,4.3272
wupA,1.2997,1.3511,1.3681,1.284,1.8616,1.7551
,0.76019,0.80223,0.7227,0.63957,0.59726,0.76878
,1.03,1.0471,0.92077,0.90439,0.95452,1.1041
CHMP2B,1.4782,1.2623,1.2905,1.1116,1.2314,1.4369
Apoltp,0.26754,0.4128,0.25378,0.57233,0.5532,0.42427
CG1814-RA;CG1814-RB,0.68531,0.68989,0.59004,0.65136,0.58506,0.61433
pzg,0.29674,0.23172,0.32609,0.23445,0.22143,0.23553
,0.3361,0.32218,NaN,0.34033,0.33767,0.3423
Cpr49Ac,2.0821,2.1218,1.7539,1.8561,1.4868,NaN
Pu,3.091,3.1623,2.8013,2.9069,4.4652,4.9514
,0.14607,0.11182,0.13732,0.14363,0.11205,0.14071
brp,0.52849,0.49316,0.45737,0.47691,0.46208,0.48845
Map205,0.42114,0.56073,0.47734,0.72958,0.77884,0.89737
,0.53229,0.54567,0.48935,0.48765,0.56034,0.52602
l(2)01289,0.30841,0.20052,0.4167,0.24902,0.31967,0.34156
rump,0.86529,0.95616,0.81034,0.93423,0.67682,0.75205
ox,1.8046,1.4699,1.7473,1.8948,1.9285,1.8256
CG32103-RB;CG4392,0.90024,0.81696,0.8767,0.66538,0.98269,0.85671
BcDNA.GH02439;BcDNA:GH02439,0.7092,0.74889,0.69184,0.70401,0.61437,0.63063
CG10737-RC,0.53959,0.63923,0.40703,0.60566,0.56612,0.52211
Unc-89,0.16975,0.1336,0.13574,0.14738,0.18567,0.19113
CG8500-RA,1.2115,1.4731,1.2512,1.2494,1.0425,1.227
Cdep,0.37526,NaN,0.49623,NaN,1.3943,0.34179
Su(P),0.71434,0.61212,0.86261,0.70994,0.75736,0.74028
,0.70665,0.64331,0.7021,0.69204,0.64374,0.6778
vari,1.0832,1.0178,0.98661,1.0885,0.96976,0.99122
,0.5662,0.52797,0.55084,0.55714,0.54428,0.59979
rept,0.65753,0.54767,0.87744,0.70129,0.4197,0.46809
Mhc,0.19214,0.18275,0.18633,0.19125,0.21454,0.22421
CG6239,0.5085,0.27988,0.29352,0.40673,0.40676,0.33495
Arpc1,0.94182,NaN,0.91286,0.953,NaN,0.67966
His2B,2.3197,2.2623,2.3057,2.4453,2.226,2.143
,1.5871,1.6844,1.757,1.6971,1.9675,1.9128
pnut,0.71771,0.7133,0.63831,0.73625,0.75619,0.73625
fax,1.0886,1.0284,0.97578,1.0085,1.0799,1.1175
Swim,0.64087,0.56666,0.55316,0.59374,0.65638,0.71032
Galpha49B,0.51068,0.52506,0.50996,0.48272,0.53459,0.48331
,0.77396,0.724,0.61837,0.71918,0.67874,0.63968
His4,2.0516,2.1753,2.0475,2.0828,1.9761,1.9427
,1.1204,1.1621,1.1129,1.1099,1.5445,1.4526
Obp44a,2.4756,2.6817,2.4038,2.3139,2.5406,2.6046
His2A:CG33856;His2A,2.1223,2.4804,2.3551,2.3226,2.3047,2.0842
betaTub56D,0.37683,0.3827,0.39538,0.37721,0.38083,0.38047
NP15.6,2.0474,2.1262,2.2624,1.7376,1.8972,2.6627
,1.2152,1.0824,0.9643,1.1269,1.1002,1.1376
Dek,1.2773,1.2659,1.1991,1.3429,1.3799,1.3182
,0.85711,0.72801,0.73812,0.85802,0.82571,1.0325
,1.8325,1.5838,1.6951,1.5964,1.4461,1.4791
P58IPK,1.3633,1.2328,1.5586,1.2342,1.5978,1.5716
,0.85778,0.81156,0.73423,0.78907,0.73465,0.75755
,2.2335,2.4316,2.1201,2.1011,2.5186,2.3416
SmD3,2.1126,2.2267,2.0533,2.45,2.1926,2.2351
CG8399,1.0332,1.1499,1.1119,1.3384,1.0796,1.0747
Tm1,1.4678,1.269,1.5954,1.3925,2.3485,2.4471
Zn72D,NaN,0.45309,0.32289,NaN,0.32343,0.14469
betaTub97EF,0.50455,0.488,0.53268,0.44094,0.50273,0.41417
Chc,0.099229,0.098647,0.15886,0.11803,0.12802,0.11986
Pcmt,1.019,1.2263,1.2155,1.266,1.1126,1.2188
Rab39,1.1136,1.0441,1.0469,NaN,1.1213,1.0127
Hsp68,0.30375,0.40279,0.33751,0.39689,0.32853,0.49143
AP-2sigma,1.0007,1.1616,1.0518,1.3724,1.1997,0.72878
flw,NaN,0.19353,0.27685,NaN,0.17483,0.24348
CG8891,1.1798,0.79317,0.7857,1.0666,0.91817,0.7645
LamC,1.3939,1.2953,1.13,1.3062,1.3473,1.2977
,1.2916,1.2246,1.0542,1.1483,1.1117,1.1967
,1.3557,1.0229,0.7247,0.75021,0.90199,0.82008
Nca,1.355,1.511,1.2616,0.97419,1.2976,1.1824
slgA,0.43801,0.40599,0.3971,0.44159,0.41648,0.41628
Snap,0.73822,0.66719,0.67579,0.67324,0.64658,0.64246
CG34439-RA,2.4391,2.157,2.1156,1.886,2.4557,2.3419
Arc1;CR10102,NaN,NaN,NaN,0.45778,NaN,NaN
kcc,0.74605,0.65401,0.65509,0.67655,0.64718,0.58169
TotA,3.7396,3.6508,4.1354,3.529,6.2959,6.806
Vps13,0.45293,0.26612,0.83743,0.39018,1.9351,1.4719
Scox,0.71506,0.73991,0.6406,0.71608,0.62508,0.52924
Strn-Mlck,0.17444,0.158,0.17328,0.19452,0.28669,0.28423
l(2)k09913,1.1456,1.1631,0.99951,1.1427,1.3261,1.1581
Eps-15,0.77819,0.68478,0.70747,0.75405,0.67154,0.63374
,0.9615,0.82884,0.9708,0.85293,1.0298,0.94372
Prosbeta5,1.1742,1.0355,1.104,1.2651,1.219,1.221
prc,2.4696,NaN,1.6887,NaN,NaN,NaN
igl,1.2859,1.4114,1.3693,1.3143,1.278,1.1324
ste24a,0.79855,0.94261,0.73311,2.1848,1.4284,1.189
mtd,0.46955,0.3758,0.34949,0.32983,0.36075,0.36536
CG6327-RA,0.74583,0.41856,0.44296,0.53094,0.5598,0.58389
Fas1,0.91534,0.88059,0.87093,0.91581,0.80188,0.81447
Pax,0.29966,0.38431,0.33372,0.32104,0.34676,0.39524
,0.19382,0.23883,0.14946,0.15025,0.19183,0.16538
gammaSnap,0.69901,0.61236,0.61941,0.68404,0.67258,0.63869
CG31345-RA,1.9523,1.9954,1.6509,1.903,1.8519,1.7762
CG5758-RC,1.9892,1.927,1.7619,1.3486,1.6079,1.6034
,0.87111,1.0111,0.83241,0.98772,0.95841,0.96115
LanA,0.28003,0.27058,0.21949,0.26595,0.28558,0.19617
vps2,2.0451,1.9878,1.8747,1.6113,2.4639,2.2071
,1.1398,1.1632,0.94186,1.0184,1.0771,0.99204
CG11005,0.77601,0.69685,0.69088,0.83234,0.66601,0.77221
Atpalpha,0.24083,0.21563,0.21107,0.22499,0.21908,0.21583
p38b,0.66541,0.66528,0.58928,0.65673,0.45955,0.57817
,4.2516,3.5981,5.7703,6.0136,7.1669,7.2005
,0.85191,0.91239,0.86119,0.87972,0.71051,0.77619
Ggamma1,1.2078,1.3551,1.1453,1.2253,1.211,NaN
Tapdelta,0.95986,1.312,1.1959,1.2406,1.2443,1.3772
sls,0.2113,0.16789,0.20451,0.23269,0.25471,0.17347
BcDNA.GH05536,2.0326,1.7639,1.7715,1.8329,2.362,2.6935
Arr1,0.28961,0.26893,0.29552,0.29016,0.2487,0.28558
stnB,0.38033,0.32329,0.37472,0.38199,0.33581,0.29219
IA-2,0.69315,0.7116,0.46689,0.51027,0.52307,0.52327
,1.7469,1.7513,1.8924,1.778,1.8961,1.9924
mRpL30,1.15,1.1888,1.0087,1.6059,NaN,1.5966
Tm2,1.363,1.359,2.069,1.3929,1.8125,1.933
,0.55803,0.55894,0.6675,0.71314,0.64835,0.65065
Khc,0.25244,0.25417,0.33196,0.23263,0.27128,0.23642
dj-1beta,0.79067,0.75349,0.87516,0.79739,0.76124,0.77555
ImpL3,0.65536,0.63881,0.6253,0.74489,0.65526,0.65224
n-syb,1.7776,2.0866,2.0095,1.8677,1.4761,1.4987
chp,0.18351,0.18837,0.19447,0.20065,0.18361,0.18204
scf,1.4763,1.5128,1.351,1.5081,1.528,1.6208
Rab10,0.83588,0.60784,0.57228,0.68332,0.61723,0.5599
Droj2,0.43029,0.41384,0.39313,0.42032,0.38163,0.39411
smt3,1.751,2.0834,2.0929,1.8641,2.0453,1.7952
robl,2.0975,2.1683,1.9885,1.5519,1.8035,2.2687
Snx6,0.81194,0.81848,0.69018,0.71417,0.66895,0.66735
uzip,2.096,2.5193,2.4026,2.4562,2.3409,1.9547
mt:ND5,0.52397,0.50973,0.62276,0.54224,0.57881,0.49236
Ank2,0.60565,0.64792,0.5395,0.58975,0.53266,0.42632
fbl,2.963,NaN,1.516,0.52992,NaN,2.3996
Tm1,1.5917,1.5381,1.5554,1.4901,1.7827,1.8031
prom,0.70618,0.74592,0.67665,0.71958,0.57479,0.70249
Syx1A,1.2962,1.3399,1.2174,1.2231,1.2281,1.1781
,1.2032,1.4125,1.2547,1.2396,1.7338,1.597
,0.45851,0.40381,0.41812,0.48797,0.27781,1.6299
,0.92875,1.0837,1.0244,0.94951,1.0448,0.76416
NUCB1,2.2955,2.7658,2.2447,2.7845,2.6634,2.544
tsr,0.84241,0.91347,0.92363,0.87576,0.93895,0.87403
Fas2,1.7122,1.4661,1.4029,1.5556,1.3879,1.4604
mt:Cyt-b,1.596,1.447,1.1495,1.0502,1.3251,1.2118
,0.89081,1.0185,0.85884,0.99102,0.94835,1.0177
Aac11,0.59,0.43397,0.71489,0.48361,0.48835,0.48394
l(3)neo18,1.9576,2.0279,1.8593,1.9777,2.255,2.2423
CG32473-RB;CG32473-RC,0.70937,0.69542,0.41037,0.73289,0.63118,0.62611
,0.42953,0.43384,0.31538,0.45733,0.40547,0.37115
metro,0.632,0.59684,0.56381,0.66526,0.72559,0.50451
Syt1,0.9746,1.0106,1.0349,1.0302,0.97774,0.93115
Gs1,0.67216,0.73054,0.59098,0.60126,0.60809,0.59954
ltd,1.1589,1.1144,1.0603,1.0714,0.91956,0.97123
Zasp66,1.8554,1.5932,2.026,1.8052,2.2698,2.2585
CG15881-RA,NaN,1.7625,1.4284,1.8699,NaN,1.9855
Prx5,1.1034,1.2113,1.0728,1.1553,1.0328,1.148
RpS27A;RpL40;Ubi-p5E;Ubi-p63E,1.1025,1.1929,1.2602,1.1836,1.3215,1.3755
Tsp96F,1.36,0.99356,1.1194,1.4253,1.3479,1.0633
bnb,1.6203,1.7501,1.6984,1.5395,1.3444,1.3327
Nup98-96,0.79842,0.84453,NaN,0.15502,0.73328,0.54701
Pfk,0.16187,0.17196,0.15847,0.15952,0.20959,0.20309
Mlp60A,0.86533,0.85385,0.79261,0.79779,0.81187,0.88531
,0.78994,0.66832,0.77291,0.78944,0.67373,0.74138
trol,0.22495,0.15564,0.21979,0.1406,0.26013,0.1812
Lac,1.898,1.9726,1.9431,2.0022,1.8561,2.016
,0.73257,0.62342,0.63953,0.66555,0.76951,0.78203
SmE,2.4313,NaN,2.517,2.6086,NaN,1.7361
,0.5636,0.44679,0.5744,0.63348,0.54208,0.55122
Cpr62Bc,1.7911,2.1933,1.7921,1.9378,1.5235,1.7697
Rtnl1,1.7907,1.717,1.8141,1.8197,2.0167,1.824
TpnC4,1.6035,1.6543,2.1375,1.9464,2.8069,2.8708
LSm7,0.56923,1.5484,1.4261,1.3926,1.4587,NaN
CRMP,0.45359,0.45834,0.35919,0.43171,0.39361,0.41284
Act79B,0.44731,0.43675,0.44116,0.41471,0.59741,0.58881
HmgZ,2.5862,2.7851,2.5234,3.077,2.4811,2.2158
,1.1867,1.507,1.3916,1.4672,1.5769,1.5261
CG5721,NaN,0.48843,0.60775,0.57262,0.50926,1.2618
Sirup,1.6543,1.5539,1.5797,1.9357,1.4329,1.4511
l(1)G0156,0.48964,0.51626,0.52857,0.52154,0.58519,0.62238
CG5377-RA,1.7759,1.7627,1.5156,1.5855,1.6345,1.5608
Ca-P60A,0.2559,0.24758,0.23605,0.25965,0.28185,0.28054
Chmp1,2.1646,2.2601,1.8776,2.3247,2.3166,2.3084
Bj1,0.79539,0.59667,0.60517,0.66073,0.66557,0.62004
,1.3131,1.1863,1.5975,1.5766,1.3776,1.5633
nrv3,0.98611,1.0223,0.93757,1.0484,0.9324,0.9109
up,1.7187,1.7313,2.0143,1.9683,3.25,2.9408
,1.5707,1.6348,1.6241,1.2259,1.7315,1.4147
His3.3A;His3,1.4575,1.331,1.4469,1.5153,1.4111,1.3978
CG42540,1.5991,1.5777,1.5805,1.6442,1.4838,1.4633
,1.1926,1.1485,1.3201,1.2473,1.3628,1.4841
Jupiter,1.2929,1.3931,1.299,1.3559,1.25,1.2814
Cpr72Ec,3.0454,2.8279,2.5449,2.4975,2.3651,2.5705
Syt7,0.6105,0.78848,0.74836,0.63763,0.52623,0.4764
,0.4191,0.43223,0.33143,0.39951,0.54877,0.54941
,0.3453,0.32989,0.37484,0.35705,0.46131,0.5159
,1.6374,1.8839,1.8408,1.6368,1.498,1.7367
Gbeta13F,0.50526,0.48456,0.4552,0.44633,0.41574,0.47356
GstS1,1.1314,1.1699,1.4077,1.3107,1.9491,1.9483
Uch,1.0802,1.0917,0.91469,0.958,1.2023,1.07
CG9112,2.1205,2.0291,1.8666,1.9746,1.9768,1.8823
CG6330-RB,0.98256,0.86619,0.74604,0.73014,0.78461,0.83413
,1.7561,1.9646,1.985,2.1851,1.457,2.0603
l(2)34Fc,1.1105,1.4148,1.1284,1.1723,1.3637,1.3515
l(1)G0196,0.21924,NaN,0.42166,NaN,NaN,NaN
,0.9746,0.93748,0.97884,0.95365,0.88808,1.0071
hoe1,NaN,1.3101,NaN,NaN,0.7122,NaN
fln,1.8836,2.0598,2.0859,2.1976,3.2079,3.4658
Aats-gly,0.45656,0.27262,0.36684,0.38675,0.399,0.38895
,0.80233,0.76681,0.76316,0.77216,0.79602,0.7409
Scp2,1.3903,1.4463,1.3708,1.3788,1.3565,1.2022
Chd64,0.88403,0.8553,0.81572,0.81885,0.83051,0.76731
shi,0.446,0.45704,0.41925,0.47456,0.42007,0.41461
Sap47,2.0765,2.2702,2.1962,2.1065,1.9065,2.1123
inaC,0.16759,0.11851,0.13194,0.14207,0.14617,0.12643
sn,0.48206,0.37194,0.36931,0.36276,0.3177,0.28443
,1.0673,1.1326,1.0253,0.93762,1.2283,1.3491
Cpr49Ae,2.1976,2.4862,1.9556,1.9867,1.9692,1.874
Ho,1.2029,1.0444,1.2345,1.2714,1.1945,1.1725
GstD3,1.0165,1.1836,1.1776,1.2179,1.2605,1.1558
Cpr64Ac,2.4449,2.6038,1.6005,1.5525,2.0732,2.1177
Actn,0.30275,0.30813,0.31587,0.31507,0.38632,0.37192
Rtnl1,1.8721,2.1034,1.9651,2.146,2.2358,2.6657
CG17273,0.69545,0.60259,0.65926,0.75336,0.6819,0.81044
Cyp305a1,0.39564,0.61259,0.36845,0.27679,0.48297,0.40587
fon,1.2139,1.2132,1.4275,1.3526,1.3105,1.2279
,0.35608,0.33867,0.37854,0.36709,0.43915,0.42229
Uev1A,0.85867,0.79467,0.87758,0.86261,0.88919,0.78732
AnnIX;AnxB9,0.94777,0.88336,0.86146,0.91405,0.83921,0.9044
CG17593-RA,0.77033,0.7323,0.64214,0.72124,0.90332,0.94122
P5CDh1,0.36904,0.34828,0.35982,0.35989,0.32435,0.33696
Updo,1.1868,0.97948,1.0816,1.0162,1.3507,1.4831
PMCA,0.24033,0.22188,0.21627,0.22881,0.22643,0.24611
CG31195-RA,0.83357,0.7368,0.73991,0.75303,0.6757,0.73941
Cpr67B,2.8096,2.8467,2.804,2.5456,2.4169,2.4033
Aats-tyr,0.31865,0.37257,0.3127,0.40256,0.46369,0.55538
Tina-1,1.2249,NaN,1.2673,NaN,1.0735,1.0986
Dic1,2.055,2.5449,1.9866,1.7925,2.0126,1.7493
synj,0.18298,0.16581,0.25752,0.27782,0.21849,0.2264
,1.9836,1.9191,1.7653,1.854,1.7625,2.0933
Cbs,0.64473,NaN,NaN,NaN,0.2205,0.30002
ens,1.9224,2.0314,1.4828,1.6223,1.7826,1.6551
Tm1,1.7028,1.7478,1.753,1.7903,1.9811,1.9489
Pbgs,0.98366,0.3313,0.54484,0.30343,1.1726,0.49605
Cpr49Aa,3.4001,2.8534,3.2478,2.9529,2.7246,2.3989
fray,0.57607,0.54249,0.48961,0.56609,0.63317,0.53775
Snap25,1.0686,0.96707,0.95156,0.83989,0.87959,0.86625
,1.5995,1.6628,1.5449,1.489,1.3962,1.4809
Gli,NaN,1.1565,1.0521,0.98313,1.026,NaN
ogre,0.55333,0.39248,0.55489,0.4793,0.38778,0.42117
Ilk,0.43479,0.37782,0.40284,1.0813,0.44999,0.35537
rdgC,0.4683,0.34318,0.28305,0.40559,0.26719,0.32646
,0.92205,0.85419,0.72593,1.0172,1.1523,0.86497
CG6412,0.40584,0.37734,0.42129,0.40192,0.41076,0.47952
Mf,2.2166,2.3781,2.163,2.244,2.5206,2.5751
Lsp1gamma,3.8972,3.9434,7.9498,8.6577,7.4185,7.6176
Cpr62Bb,2.4747,2.534,2.347,2.3787,2.3245,2.4723
Gbeta76C,0.53847,0.58185,0.50494,0.46448,0.49786,0.50403
CLIP-190,0.69208,0.45466,0.45002,0.63677,0.75388,0.31922
Tm2,1.3377,1.3451,1.3629,1.3,1.4693,1.6847
Cka,0.60428,0.66674,0.70736,0.48278,0.56768,0.52879
Syt1,1.0418,1.0834,0.95337,1.002,NaN,1.0036
Strn-Mlck,0.20644,0.15544,0.19454,0.16066,0.26371,0.27815
lark,0.57363,0.42928,0.56409,0.72751,0.60307,0.66509
Pros28.1,1.0063,0.83098,1.0432,1.2164,1.1986,1.0936
,1.1395,1.0357,1.1224,1.2976,1.0861,1.1871
Rab11,2.1005,2.4979,2.4537,2.5181,2.2078,2.4028
ND23,0.70621,0.74199,0.62588,0.73508,0.92391,0.76666
,1.3977,1.4064,1.3474,1.3656,1.489,1.5638
Ras85D,1.1955,1.2752,1.1119,1.1637,1.3337,1.1458
GstE2,0.94242,0.93264,1.1629,0.8116,0.87708,0.80795
veli,2.2262,2.1327,2.3192,2.2607,2.1411,2.1896
,1.3405,1.5439,1.6688,1.4946,1.5675,1.7025
nrv1,1.0629,1.2047,1.0427,1.2127,1.1901,1.3522
ico,0.32511,0.34634,0.50329,0.98988,0.27292,0.25504
Snap24,1.6336,1.6806,1.4798,1.6073,1.4073,1.4312
CG9132,1.1064,1.3067,1.0057,1.1474,1.1088,1.0962
Cry,1.4731,1.7814,1.5373,1.3631,1.7742,1.6949
RhoGDI,1.9985,1.8804,1.8839,1.8178,2.1324,2.0797
I-2,1.2654,1.2837,1.0066,1.1194,1.0217,1.0636
Men-b,0.43558,0.43591,0.38434,0.41664,0.4402,0.40183
,0.74338,0.75757,0.80236,0.72745,0.84063,0.85141
Nap1,1.0155,1.0243,1.0556,1.0706,0.97285,0.95412
,3.0023,3.305,2.5961,2.522,3.0833,3.0445
CoIV,0.83995,0.86193,0.79034,0.80275,0.89031,0.87921
,1.5736,1.5519,1.5207,1.7591,1.5127,1.4266
,1.2435,1.0686,0.99482,1.0362,1.0712,1.0149
cype,0.79119,0.81963,0.84223,0.80928,1.0108,0.92948
fau,1.1982,1.2259,1.2283,1.2388,1.2383,1.2712
,1.5016,1.7002,1.5681,1.5199,1.6615,1.6614
,1.2709,0.67174,0.74926,0.9274,0.84981,0.74904
