Gene names, Alpha A53T_day_30, Control _day_30
Cyp6a13,#DIV/0!,#DIV/0!
Cyp4p1,#DIV/0!,#DIV/0!
wun,#DIV/0!,#DIV/0!
CG8858,0.803542969,0.812431016
Taz,#DIV/0!,#DIV/0!
Fsn,#DIV/0!,#DIV/0!
CG13343,#DIV/0!,#DIV/0!
mRpS16,#DIV/0!,#DIV/0!
Cpsf160,#DIV/0!,#DIV/0!
Cyp6a21,#DIV/0!,#DIV/0!
CG10253,#DIV/0!,#DIV/0!
CG5189,#DIV/0!,#DIV/0!
sec6,#DIV/0!,#DIV/0!
Rep,#DIV/0!,#DIV/0!
Obp56h,#DIV/0!,#DIV/0!
Obp57c,#DIV/0!,#DIV/0!
Cyp6u1,#DIV/0!,#DIV/0!
ubl,#DIV/0!,#DIV/0!
phtf,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cul-2,0.282839375,0.284422813
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG11563-RA,#DIV/0!,#DIV/0!
CG11337-RD,#DIV/0!,#DIV/0!
mRpL32,#DIV/0!,#DIV/0!
qless,#DIV/0!,#DIV/0!
CG1544,0.478042813,0.479718594
Npc2h,#DIV/0!,#DIV/0!
CG2224-RA,1.000821875,1.007589063
mRpS18C,17.49133219,16.71886391
CG34317-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Tace,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
eIF2B-alpha,#DIV/0!,#DIV/0!
yata,#DIV/0!,#DIV/0!
IntS11,#DIV/0!,#DIV/0!
CG1969;CG1969-RB,0.453143906,0.451273047
CG7598,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Bub3,#DIV/0!,#DIV/0!
Spase12,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Mesh1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG11880,#DIV/0!,#DIV/0!
alpha-Man-Ib,#DIV/0!,#DIV/0!
Cul-5,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
WASp,0.866792813,0.862068594
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.371222656,0.374506172
mfrn,0.5410825,0.54380375
BCAS2,#DIV/0!,#DIV/0!
,0.367104688,0.366497656
Sce,#DIV/0!,#DIV/0!
CG12883-RA,#DIV/0!,#DIV/0!
RpS10a,#DIV/0!,#DIV/0!
raps,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.771070469,0.777119766
,#DIV/0!,#DIV/0!
CG6073,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RpL34a,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.726261094,0.706339453
Mst57Da,#DIV/0!,#DIV/0!
,0.233880313,0.235277344
Dhap-at,#DIV/0!,#DIV/0!
Vps33B,#DIV/0!,#DIV/0!
alrm,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG31370-RB,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Nup37,#DIV/0!,#DIV/0!
to,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG10420,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Clbn,0.818432031,0.824856484
,#DIV/0!,#DIV/0!
PQBP1,#DIV/0!,#DIV/0!
CG13644,0.753714531,0.748180234
,#DIV/0!,#DIV/0!
polybromo,#DIV/0!,#DIV/0!
Rpb10,#DIV/0!,#DIV/0!
Syx18,#DIV/0!,#DIV/0!
CG5789-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.603213438,0.586223281
Dis3,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.781552188,0.774343906
mask,0.973528906,0.965810547
CG5515-RA,0.426882813,0.426368594
mRpS24,#DIV/0!,#DIV/0!
Kal1,#DIV/0!,#DIV/0!
CG5463,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Ndc1,#DIV/0!,#DIV/0!
eIF4G2,#DIV/0!,#DIV/0!
mbc,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG10214,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
EloA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,1.037646563,1.042409219
CG13830-RB,#DIV/0!,#DIV/0!
,1.32451875,1.321240625
klg,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Usp12-46,#DIV/0!,#DIV/0!
CG13841-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
HP1c,#DIV/0!,#DIV/0!
CG6982-RC,#DIV/0!,#DIV/0!
Cyp6d4,#DIV/0!,#DIV/0!
Nup133,#DIV/0!,#DIV/0!
mRpL45,0.8577475,0.86776625
EF-G2,#DIV/0!,#DIV/0!
CSN6,1.42504375,1.451878125
,0.413969375,0.415275313
Pebp1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG5382,#DIV/0!,#DIV/0!
Cchl,0.3817075,0.37948875
lsn,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Oga,0.245575625,0.244272188
,#DIV/0!,#DIV/0!
CG5862,#DIV/0!,#DIV/0!
Ubpy,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
sec15,#DIV/0!,#DIV/0!
RhoGAP93B,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RpS30,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
psidin,0.289350313,0.288519844
Xport,#DIV/0!,#DIV/0!
RhoGAP92B,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG6231-RD,#DIV/0!,#DIV/0!
Dys,0.827729844,0.838220078
,#DIV/0!,#DIV/0!
mRpL55,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
snRNP-U1-C,#DIV/0!,#DIV/0!
Smu1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cpsf73,#DIV/0!,#DIV/0!
CstF-64,#DIV/0!,#DIV/0!
CG7694,#DIV/0!,#DIV/0!
Nup43,0.501642656,0.496931172
PKD,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Rpb4,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG7993,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Ssdp,#DIV/0!,#DIV/0!
Prx5-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG7477,#DIV/0!,#DIV/0!
AttD,#DIV/0!,#DIV/0!
SF1,#DIV/0!,#DIV/0!
,0.248726875,0.247021563
mRpS11,0.346790313,0.346014844
Patr-1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG17556-RA,#DIV/0!,#DIV/0!
modSP,#DIV/0!,#DIV/0!
CG10326,#DIV/0!,#DIV/0!
mRpS33,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG17931,0.399425938,0.399072031
Sulf1,#DIV/0!,#DIV/0!
Bin1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
sxe2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Hmt-1,0.294084219,0.295280391
alpha-Man-IIb,#DIV/0!,#DIV/0!
Acyp2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
ldlCp,#DIV/0!,#DIV/0!
CG12258,#DIV/0!,#DIV/0!
Aats-ser,#DIV/0!,#DIV/0!
,0.497295781,0.500259609
mRpL9,0.380572813,0.381933594
Rpb7,#DIV/0!,#DIV/0!
Mf,#DIV/0!,#DIV/0!
Nup93-2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Pde6,0.193937188,0.192931406
mRpL11,0.397376875,0.400026563
Aats-met,#DIV/0!,#DIV/0!
Npc2b,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cht5,0.767034375,0.771515313
ninaB,#DIV/0!,#DIV/0!
flfl,#DIV/0!,#DIV/0!
rin,2.265100938,2.187529531
poly,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.5730975,0.57593125
,#DIV/0!,#DIV/0!
,0.387629063,0.389135469
,#DIV/0!,#DIV/0!
CG5608-RA,0.400872344,0.401116328
CG5641,0.470404531,0.471480234
CG17202,#DIV/0!,#DIV/0!
Dip-C,0.444986094,0.443001953
GstD5,#DIV/0!,#DIV/0!
GstD10,#DIV/0!,#DIV/0!
MBD-R2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG3532-RB,#DIV/0!,#DIV/0!
Cad87A,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
ClC-a,#DIV/0!,#DIV/0!
Lk6,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Elp1,#DIV/0!,#DIV/0!
wkd,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Ranbp9,2.113539688,2.034950156
Arfip,#DIV/0!,#DIV/0!
CG14701,#DIV/0!,#DIV/0!
CG17726,#DIV/0!,#DIV/0!
CG6693,#DIV/0!,#DIV/0!
Ugt35a,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Art1,#DIV/0!,#DIV/0!
mRpL37,0.315339531,0.314785234
,0.578362031,0.582411484
Bruce,#DIV/0!,#DIV/0!
Invadolysin,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Art4,#DIV/0!,#DIV/0!
CG12945-RB,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG9396-RA,#DIV/0!,#DIV/0!
Vps45,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
by,#DIV/0!,#DIV/0!
CG9363,#DIV/0!,#DIV/0!
CG18473,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Vps16A,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
hyx,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RagA-B,#DIV/0!,#DIV/0!
CAHbeta,#DIV/0!,#DIV/0!
pyd,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG9773,#DIV/0!,#DIV/0!
mRpL19,0.657192813,0.655913594
CG8021-RA,1.460260938,1.448419531
mRpS18A,1.886621875,1.904089063
PQBP-1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Atg13,#DIV/0!,#DIV/0!
tex,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Gie,#DIV/0!,#DIV/0!
,0.522564844,0.518375078
unc-45,0.224437969,0.224686016
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
wtrw,#DIV/0!,#DIV/0!
Neurochondrin,0.124310375,0.124177563
CG1104,1.120017031,1.103811484
,#DIV/0!,#DIV/0!
Dpck,0.354146875,0.352436563
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
lap,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
alpha-Est8,#DIV/0!,#DIV/0!
l(2)k14505,#DIV/0!,#DIV/0!
Mcm10,#DIV/0!,#DIV/0!
CG9246,#DIV/0!,#DIV/0!
CG12050-RB,#DIV/0!,#DIV/0!
CG31676-RA,#DIV/0!,#DIV/0!
Spn38F,#DIV/0!,#DIV/0!
,0.964783438,0.964343281
Ns4,#DIV/0!,#DIV/0!
CG9319-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,1.347475,1.3377125
Arc-p34,0.861789063,0.858950469
mRpS18B,#DIV/0!,#DIV/0!
vls,#DIV/0!,#DIV/0!
Hf,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
pcna2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG33116-RA,#DIV/0!,#DIV/0!
CG10166,0.789444531,0.789250234
,#DIV/0!,#DIV/0!
swm,0.640011094,0.637316953
,#DIV/0!,#DIV/0!
Rab9,#DIV/0!,#DIV/0!
CG9987,#DIV/0!,#DIV/0!
l(2)37Ce,#DIV/0!,#DIV/0!
l(2)37Cb,#DIV/0!,#DIV/0!
l(2)37Bb,#DIV/0!,#DIV/0!
Acn,0.386224375,0.386825313
mib2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Nedd8,#DIV/0!,#DIV/0!
mRpL13,#DIV/0!,#DIV/0!
,0.15105375,0.150308125
BEST:LD25345,#DIV/0!,#DIV/0!
Faf,#DIV/0!,#DIV/0!
Jwa,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
rdo,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.661521094,0.661326953
fws,#DIV/0!,#DIV/0!
Rpb11,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
yellow-b,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG17904,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
l(2)35Bd,#DIV/0!,#DIV/0!
dyn-p25,#DIV/0!,#DIV/0!
CG9267-RA,#DIV/0!,#DIV/0!
,0.450696719,0.450709141
Nnp-1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG31729-RA;CG6263,0.519995313,0.524602344
,#DIV/0!,#DIV/0!
Ski6,#DIV/0!,#DIV/0!
kek4,#DIV/0!,#DIV/0!
DnaJ-H,#DIV/0!,#DIV/0!
,0.431602813,0.430123594
Ced-12,0.274226094,0.269244453
RpL7-like,#DIV/0!,#DIV/0!
CG6770-RA,2.034760938,2.036394531
CG6766-RA,0.856319063,0.853280469
CG16965-RB,#DIV/0!,#DIV/0!
CycY,#DIV/0!,#DIV/0!
BcDNA.GH07269,#DIV/0!,#DIV/0!
Ppt2,#DIV/0!,#DIV/0!
hgo,#DIV/0!,#DIV/0!
Nup160,#DIV/0!,#DIV/0!
CG6230-RA,0.327328594,0.326295703
l(2)gd1,#DIV/0!,#DIV/0!
Ge-1,0.364965,0.365915
SCAR,0.746270938,0.744184531
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG6724,0.75381,0.76425
,#DIV/0!,#DIV/0!
,1.167394375,1.159097813
,#DIV/0!,#DIV/0!
CG18302-RA,#DIV/0!,#DIV/0!
,0.908590156,0.905982422
,#DIV/0!,#DIV/0!
,0.898378125,0.910053438
,0.601688438,0.598765781
CG5198,#DIV/0!,#DIV/0!
CG4968,#DIV/0!,#DIV/0!
,0.318502031,0.309081484
Mob3,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Npc1a,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Spn31A,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG4592-RA,#DIV/0!,#DIV/0!
Srp54,0.788047031,0.795658984
zf30C,#DIV/0!,#DIV/0!
Cyp4e3,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Mco1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG18661,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Trs23,0.73091,0.731675
PrBP,#DIV/0!,#DIV/0!
mRpL51,0.72326125,0.714204375
CG13096,#DIV/0!,#DIV/0!
ESTS:172F5T,#DIV/0!,#DIV/0!
lectin-29Ca,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Wdr82,#DIV/0!,#DIV/0!
CG7627-RA,#DIV/0!,#DIV/0!
CG7787,#DIV/0!,#DIV/0!
wol,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Spn28F,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Rbsn-5,#DIV/0!,#DIV/0!
mon2,#DIV/0!,#DIV/0!
poe,0.671215313,0.671154844
,#DIV/0!,#DIV/0!
Wwox,#DIV/0!,#DIV/0!
Proct,#DIV/0!,#DIV/0!
r2d2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cyp4d21,#DIV/0!,#DIV/0!
,0.372188594,0.364180703
CG5181,#DIV/0!,#DIV/0!
Rab30,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
SA,#DIV/0!,#DIV/0!
,0.399192344,0.401826328
Rat1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Galt,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Ent2,#DIV/0!,#DIV/0!
CG9551,#DIV/0!,#DIV/0!
CG9542,0.404440156,0.406727422
frj,#DIV/0!,#DIV/0!
retm,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Arpc4,0.554406719,0.549526641
CG9175-RA,#DIV/0!,#DIV/0!
,0.353512813,0.353421094
mtm,#DIV/0!,#DIV/0!
lid,#DIV/0!,#DIV/0!
bchs,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
obst-E,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG7277,#DIV/0!,#DIV/0!
CG6907,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cyp4ac1;Cyp4ac3;Cyp4ac2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
vkg,#DIV/0!,#DIV/0!
CG3887,1.34170875,1.356935625
CG3792,#DIV/0!,#DIV/0!
Gmd,#DIV/0!,#DIV/0!
CG14043,#DIV/0!,#DIV/0!
mRpL24,0.864706719,0.859721641
CG12581-RA,#DIV/0!,#DIV/0!
aux,#DIV/0!,#DIV/0!
,0.411412969,0.412871016
,#DIV/0!,#DIV/0!
Fip1,#DIV/0!,#DIV/0!
CG12001,#DIV/0!,#DIV/0!
eIF3-S5-1,0.3949225,0.39366875
atms,#DIV/0!,#DIV/0!
CG2016-RB,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
cno,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Prosbeta7,#DIV/0!,#DIV/0!
mRpL44,0.601031875,0.599034063
CG12168,#DIV/0!,#DIV/0!
CG2509,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
elm,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.78703,0.774845
CG42675-RF,#DIV/0!,#DIV/0!
Hpr1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.476214063,0.479727969
Ddx1,0.327074063,0.326027969
CG7414,0.345312031,0.345191484
Rpb8,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.398305,0.39586
Wnk,#DIV/0!,#DIV/0!
CoVIII,1.618915625,1.615042188
M6,#DIV/0!,#DIV/0!
,3.343482813,3.390983594
CG12975,#DIV/0!,#DIV/0!
,0.462930938,0.452189531
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG3116,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG3634,#DIV/0!,#DIV/0!
Pex14,#DIV/0!,#DIV/0!
CG4186-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mRpL15,2.324776875,2.364221563
zye,#DIV/0!,#DIV/0!
Toll-9,#DIV/0!,#DIV/0!
Spn77Bc,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mRpL10,#DIV/0!,#DIV/0!
Tbc1d15-17,#DIV/0!,#DIV/0!
CG17078-RA,0.426350469,0.426832266
Spp,0.368987031,0.369543984
nAcRbeta-21C,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Clp,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Atg4,1.135946563,1.095316719
,#DIV/0!,#DIV/0!
Iris,#DIV/0!,#DIV/0!
capt,#DIV/0!,#DIV/0!
Plap,1.503873594,1.502275703
CG5001-RA,0.42980625,0.430601875
,#DIV/0!,#DIV/0!
,1.004715,1.00509
robo3,#DIV/0!,#DIV/0!
mRpL48,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG15356-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
l(2)s5379,0.546784531,0.547187734
,#DIV/0!,#DIV/0!
CG3597-RA,#DIV/0!,#DIV/0!
Glyctk,#DIV/0!,#DIV/0!
Cyp309a1,#DIV/0!,#DIV/0!
Arpc5,0.7636425,0.76259625
CG31689-RA,#DIV/0!,#DIV/0!
CG3098,#DIV/0!,#DIV/0!
,0.545457813,0.542226094
Prx6005,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
GABPI,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
sec5,0.314422813,0.314378594
,#DIV/0!,#DIV/0!
Dot,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,1.667357813,1.637996094
,#DIV/0!,#DIV/0!
ed,#DIV/0!,#DIV/0!
lectin-24Db,#DIV/0!,#DIV/0!
CG3338-RA,#DIV/0!,#DIV/0!
Elp3,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,4.403265156,4.500934922
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
hoe2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG14614-RA,#DIV/0!,#DIV/0!
CG14619-RC,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
S6kII,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cda4,#DIV/0!,#DIV/0!
obst-A,0.537911563,0.535829219
Syx16,#DIV/0!,#DIV/0!
Obp19b,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG32521-RB,#DIV/0!,#DIV/0!
CG1704,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
waw,#DIV/0!,#DIV/0!
CG10671,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
membrin,#DIV/0!,#DIV/0!
sinu,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Bre1,#DIV/0!,#DIV/0!
QC,1.644142188,1.641253906
,#DIV/0!,#DIV/0!
alphaKap4,#DIV/0!,#DIV/0!
loj,#DIV/0!,#DIV/0!
CG13298,#DIV/0!,#DIV/0!
Trn,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.332299219,0.328772891
,#DIV/0!,#DIV/0!
CG14830-RA,2.196034375,2.189082813
unc-13-4A,#DIV/0!,#DIV/0!
,0.587197813,0.585156094
Cyp316a1,#DIV/0!,#DIV/0!
ltl,#DIV/0!,#DIV/0!
Srp9,#DIV/0!,#DIV/0!
RNaseX25,#DIV/0!,#DIV/0!
CG7375,0.73092125,0.732459375
CG8005,#DIV/0!,#DIV/0!
,0.260453125,0.259258438
exo70,0.386755156,0.384754922
,#DIV/0!,#DIV/0!
GstO1,0.60398,0.60364
GAPsec,#DIV/0!,#DIV/0!
Zasp66,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Srp68,0.37297,0.37158
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Use1,#DIV/0!,#DIV/0!
nwk,#DIV/0!,#DIV/0!
UGP,#DIV/0!,#DIV/0!
CG4447-RA,2.366698438,2.370575781
Bet3,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
vnc,0.263900625,0.264704688
,#DIV/0!,#DIV/0!
CG7949,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
blos2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
APP-BP1,0.25629375,0.251478125
,#DIV/0!,#DIV/0!
mRpL2,0.261800469,0.262362266
Ufd1-like,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Plod,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Fuca,#DIV/0!,#DIV/0!
CG6083-RA,#DIV/0!,#DIV/0!
CG32085-RA,#DIV/0!,#DIV/0!
RhoGAP68F,#DIV/0!,#DIV/0!
thoc6,#DIV/0!,#DIV/0!
,0.599886875,0.598726563
Smyd4,#DIV/0!,#DIV/0!
ArfGAP1,0.528409844,0.527890078
CG10616,#DIV/0!,#DIV/0!
SmD1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.767179219,0.769420391
mRpL20,0.407011563,0.408659219
SRm160,1.0955425,1.11145875
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG14105,#DIV/0!,#DIV/0!
Vps36,#DIV/0!,#DIV/0!
Liprin-beta,#DIV/0!,#DIV/0!
bru-3,#DIV/0!,#DIV/0!
CG8745,#DIV/0!,#DIV/0!
CG32138,#DIV/0!,#DIV/0!
Pex1,#DIV/0!,#DIV/0!
bbg,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mop,0.445252188,0.449608906
,0.891924531,0.895457734
mRpL39,0.392481563,0.392774219
CTPsyn,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Pex3,#DIV/0!,#DIV/0!
Prp31,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG7857-RA,#DIV/0!,#DIV/0!
CG7427,#DIV/0!,#DIV/0!
UFSP2,#DIV/0!,#DIV/0!
CG12304;CG12304-RB,0.253959219,0.254842891
CG15715-RA,#DIV/0!,#DIV/0!
,1.934694219,1.885405391
CG5931,4.333167969,4.430428516
CG17026-RA,#DIV/0!,#DIV/0!
Hip14,#DIV/0!,#DIV/0!
CG5161,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG13062-RA,#DIV/0!,#DIV/0!
Nplp3,#DIV/0!,#DIV/0!
,0.958849688,0.938815156
,0.189607188,0.188101406
mRpS34,0.407849063,0.405782969
CG4933,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RAF2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Syx8,#DIV/0!,#DIV/0!
